Employer,City,Zip Code,LWIB Area,Notice Date
Robb & Stucky Limited LLLP  ,Scottsdale  ,85254  ,7  ,03/09/2011 
Rockwell collins  ,Tucson  ,85710  ,6  ,10/19/2017 
Rockwell Collins  ,Tucson  ,85710  ,6  ,03/26/2018 
"Royal Remanufacturing, LLC  ",St. Louis  ,63124  ,7  ,04/25/2017 
Rural Metro  ,Scottsdale  ,85258  ,7  ,08/27/2014 
Saddle Ranch Chop House  ,Glendale  ,85305  ,7  ,03/27/2020 
Safeway  ,Phoenix  ,85072  ,2  ,05/04/2015 
Safeway  ,Phoenix  ,85072  ,7  ,05/04/2015 
Safeway #1985  ,Tucson  ,85742  ,6  ,01/04/2019 
Safeway #2676  ,Mesa  ,85209  ,7  ,10/18/2019 
Safeway 1126  ,Scottsdale  ,85259  ,7  ,06/21/2019 
Safeway 1202  ,Phoenix  ,85022  ,5  ,06/18/2018 
Safeway 1567  ,Mesa  ,85213  ,7  ,04/26/2019 
Safeway 1636  ,Glendale  ,85306  ,7  ,06/18/2018 
Sam Levits  ,Tucson  ,85705  ,6  ,03/25/2020 
Sam Levitz furniture  ,Tucson  ,85705  ,6  ,03/25/2020 
Sams Club  ,Chandler  ,85225  ,7  ,01/11/2018 
Sams Club  ,Casa Grande  ,85122  ,2  ,01/11/2018 
Sams Club  ,Prescott Valley  ,86314  ,12  ,01/11/2018 
Sams Club  ,Scottsdale  ,85251  ,7  ,01/11/2018 
Sanctuary Camelback  ,Phoenix  ,85014  ,5  ,04/02/2020 
SAS Restaurant Ventures (Denny's)  ,Phoenix  ,85022  ,5  ,03/31/2020 
SB Capital Acquistion LLC  ,Columbus  ,43219  ,7  ,09/30/2013 
"SCA Tissue NA, LLC  ",Flagstaff  ,86001  ,10  ,06/08/2017 
SCAN Health Plan Arizona  ,Phoenix  ,85014  ,7  ,02/29/2012 
"Schenker, Inc.  ",Phoenix  ,85040  ,7  ,09/16/2011 
Schletter Inc.  ,Shelby  ,28150  ,6  ,04/25/2018 
Schuff Steel Company  ,Gilbert  ,85233  ,7  ,02/24/2012 
Scottsdale Marriott at McDowell Mountains  ,Scottsdale  ,85260  ,7  ,06/02/2020 
Scottsdale Marriott Old Yown  ,Scottsdale  ,85251  ,7  ,06/04/2020 
Sears Tempe Call Center  ,Tempe  ,85284  ,7  ,10/01/2018 
Select Medical Corporation  ,Mechanicsburg  ,17055  ,7  ,08/03/2016 
"Semiconductor Component Industries, LLC dba ON Sem  ",Phoenix  ,85008  ,7  ,06/03/2011 
Shamrock Farms  ,Phoenix  ,85009  ,5  ,04/02/2020 
"ShelterClean of Arizona, Inc.  ",Phoenix  ,85034  ,7  ,08/15/2011 
Sheraton Phoenix Downtown  ,Phoenix  ,85022  ,5  ,06/02/2020 
Sodexo  ,Gilbert  ,85295  ,7  ,07/30/2014 
Sodexo  ,Phoenix  ,85034  ,5  ,01/18/2019 
SOLON Corporation  ,Tucson  ,85756  ,6  ,08/15/2011 
Southwest Key Programs Inc.  ,Austin  ,78721  ,7  ,10/31/2018 
Southwest Key Programs Inc.  ,Austin  ,78721  ,5  ,10/31/2018 
Specialty Textile  ,Phoenix  ,85007  ,5  ,3/30/2020
Spectra -Blue Water Resort & Casino  ,Parker  ,85344  ,11  ,04/01/2019 
Spectrum Pharmaceuticals  ,Henderson  ,89052  ,7  ,03/01/2019 
SSI  ,Shelton  ,06484  ,2  ,12/18/2012 
St Luke's Medical Center  ,Phoenix  ,85006  ,5  ,10/25/2019 
Staples  ,Framingham  ,07102  ,7  ,06/26/2015 
Starr Pass Resort & Spa (JW Marriott)  ,Tucson  ,85745  ,6  ,06/01/2020 
Sub-Zero Group Inc  ,Goodyear  ,85340  ,7  ,03/20/2020 
Suddenlink Communications  ,Lake Havasu  ,86403  ,11  ,08/03/2017 
Suit Supply  ,Scottsdale  ,85254  ,7  ,04/08/2020 
Sunnyside market  ,Tucson  ,85740  ,6  ,05/18/2020 
"Superior Technical Resources, Inc.  ",Phoenix  ,85008  ,7  ,06/02/2011 
Supervalu Logistics  ,Phoenix  ,85043  ,7  ,07/12/2011 
Surprise Honda  ,Surprise  ,85388  ,7  ,03/24/2020 
Surprise Honda  ,Surprise  ,85388  ,7  ,03/25/2020 
Sushi Tucson  ,Tucson  ,85717  ,6  ,04/05/2020 
SW Hotels and Resorts WW llc  ,Scottsdale  ,85251  ,7  ,06/03/2020 
"SYKES Enterprises, Incorporated  ",Nogales  ,85621  ,8  ,01/24/2012 
Systems Solutions of Kentucky  ,Goodyear  ,85395  ,7  ,02/19/2019 
Tanque Verde Ranch  ,Tucson  ,85748  ,6  ,03/27/2020 
Target  ,Tempe  ,85284  ,7  ,11/04/2013 
Target Corporation  ,Tucson  ,85711  ,6  ,03/01/2019 
TASc  ,Phoenix  ,85017  ,7  ,06/18/2020 
Taylor Farms  ,Yuma  ,85666  ,9  ,03/27/2020 
Taylor farms  ,Salinas  ,93902  ,9  ,04/07/2020 
"TCIM Services, Inc.  ",Tucson  ,85705  ,6  ,11/01/2011 
Tempe mission Palms (Hyatt)  ,Tempe  ,85271  ,7  ,06/19/2020 
TENET Healthcare Corp.  ,Phoenix  ,85020  ,5  ,03/04/2019 
Tesla  ,Phoenix  ,85040  ,7  ,01/29/2019 
The Antigua Group  ,Peoria  ,85382  ,7  ,04/24/2020 
The Apache Railway Company Inc.  ,Snowflake  ,85937  ,14  ,07/30/2012 
"The Cheesecake Factory. Grand Lux Cafe, LLC  ",Calabasas Hills  ,91301  ,7  ,01/17/2013 
The Great Indoors #1901  ,Scottsdale  ,85254  ,7  ,04/18/2012 
The Great Indoors #1913  ,Chandler  ,85226  ,7  ,04/18/2012 
The Orchards  ,Sedona  ,85600  ,10  ,04/03/2020 
The Phoenician  ,Phoenix  ,85251  ,5  ,06/03/2020 
The Ritz-Carlton  ,Marana  ,85658  ,6  ,06/05/2020 
The Royal Palms Resort and Spa  ,Phoenix  ,85018  ,5  ,06/08/2020 
The Scott Resort and Spa  ,Scottsdale  ,85251  ,7  ,05/04/2020 
The Scottsdale Resort at McCormick Ranch  ,Scottsdale  ,85258  ,7  ,06/05/2020 
The Sheraton Grand at Wild Horse Pass  ,Chandler  ,85226  ,7  ,06/03/2020 
The Westin Kierland Resort and Spa  ,Scottsdale  ,85254  ,7  ,06/05/2020 
The Westin Kierland Villas  ,Scottsdale  ,85254  ,7  ,06/05/2020 
The Westin Phoenix Downtown  ,Phoenix  ,85004  ,5  ,06/05/2020 
Theranos  ,scottsdale  ,85257  ,7  ,10/06/2016 
Theranos  ,Palo Alto  ,94304  ,7  ,10/06/2016 
"THQ, Inc. Digital Studio Phoenix  ",Phoenix  ,85016  ,7  ,08/08/2011 
"THQ, Inc.  ",Agoura Hills  ,91301  ,5  ,07/19/2012 
Thunderbird School of Global Management  ,Glendale  ,85306  ,5  ,10/09/2014 
TMI Acquisitions LLC  ,Tucson  ,85713  ,6  ,01/10/2020 
Todds (Div of H.J. Heinz Co. L.P.  ,Phoenix  ,85043  ,5  ,4/1/2015
Transportation Brokerage Specialists Inc (TBS)  ,Costa Mesa  ,92626  ,7  ,02/20/2020 
Transportation Brokerage Specialists Inc (TBS)  ,Costa Mesa  ,92626  ,7  ,02/20/2020 
"Transworld Systems, Inc (TSI)  ",Phoenix  ,85027  ,5  ,03/26/2015 
TriWest Healthcare Alliance  ,Phoenix  ,85053  ,5  ,12/10/2012 
TRX Managment LLCdba Zona Hotel & Suites  ,Scottsdale  ,85255  ,7  ,06/20/2014 
TSI corporation  ,Las Vegas  ,89106  ,7  ,05/29/2018 
Tucson Marriott University park  ,Tucson  ,85719  ,6  ,03/26/2020 
"Tuesday Morning, Inc.  ",Phoenix  ,85006  ,5  ,04/22/2020 
"Tufesa USA, LLC  ",Phoenix  ,85009  ,5  ,04/15/2020 
Turn-Key Solutions  ,Glendale  ,85306  ,7  ,11/20/2018 
UBER  ,Tempe  ,85281  ,7  ,05/29/2018 
Uber Technologies  ,Phoenix  ,85004  ,5  ,05/07/2020 
Ulta Beauty  ,Phoenix  ,85043  ,5  ,11/13/2018 
United Recovery systems  ,Houston  ,77072  ,7  ,03/31/2015 
Unitedhealth Group  ,Phoenix  ,85021  ,5  ,11/02/2017 
"US Airways, Inc.  ",Phoenix  ,85034  ,7  ,04/07/2014 
UTi Intergrated Logistics  ,Phoenix  ,85043  ,7  ,12/12/2011 
Valassis  ,Phoenix  ,86034  ,5  ,10/23/2019 
Valeant Pharmaceuticals North America LLC  ,Bridgewater  ,08807  ,7  ,12/10/2012 
viant Medical LLC  ,Tempe  ,85282  ,7  ,07/25/2019 
"Video Monitoring Services of America, LP  ",Tucson  ,85711  ,6  ,08/26/2011 
Vision Works  ,Chandler  ,85226  ,7  ,04/23/2020 
Vitron manufacturing solutions  ,Phoenix  ,85053  ,5  ,01/06/2016 
VT Services  ,Ft. Huachuca  ,85613  ,1  ,01/31/2012 
Vulcan Materials Company  ,Laveen  ,85339  ,7  ,03/18/2011 
"VWR International, Rodnor Corporate Center  ",Radnor  ,19087  ,7  ,12/17/2012 
Walgreen Co.  ,Flagstaff  ,86004  ,10  ,10/20/2014 
Walmart  ,Tempe  ,85281  ,7  ,06/12/2019 
Walter Investment Managment Corp  ,Jacksonville  ,32202  ,7  ,10/28/2015 
Web.com group Inc  ,jacksonville  ,32258  ,7  ,02/01/2019 
Wells Fargo  ,Chandler  ,85286  ,7  ,03/26/2012 
Wells Fargo  ,Charlotte  ,28215  ,7  ,07/18/2019 
Western Refining  ,Tempe  ,85281  ,7  ,04/10/2019 
Western Refining  ,San Antonio  ,78259  ,7  ,02/28/2018 
Westin La Paloma Resort and Spa  ,Tucson  ,85718  ,6  ,05/08/2020 
Whirlaway Corporation  ,Tempe  ,85282  ,7  ,08/10/2010 
Whole Foods  ,Phoenix  ,85028  ,5  ,02/10/2017 
Wild River Family Entertainment Center  ,Somerton  ,85350  ,9  ,04/07/2020 
"William Dale Young & Sons, Inc., Cocopah Nurseries  ",Dateland  ,85222  ,9  ,03/11/2013 
Willow (CPES)  ,Phoenix  ,85011  ,5  ,05/18/2020 
"Wyndam Vaction ownerhsip, Inc. (Company)  ",Orlando  ,32819  ,7  ,11/07/2012 
Xanodyne Pharamaceuticals  ,Gilbert  ,85007  ,7  ,09/21/2010 
Xanterra L.L.C.  ,Grand Canyon  ,86023  ,10  ,10/29/2014 
Xchange Leasing LLC (XCL)  ,Phoenix  ,85012  ,5  ,10/31/2017 
Yelp  ,Scottsdale  ,85251  ,7  ,04/09/2020 
Zenefits  ,San Francisco  ,94107  ,7  ,02/09/2017 
Zenith Education Group  ,Tampa  ,33610  ,7  ,04/27/2015 
ZF Passive Safety Systems US inc.  ,Mesa  ,85212  ,7  ,03/27/2020 
Zip Recruiter  ,Santa Monica  ,90401  ,7  ,03/27/2020 
ZipRealty  ,Phoenix  ,85018  ,7  ,11/29/2010 
ZMC  ,Scottsdale  ,85258  ,7  ,05/02/2016 
