Employer,City,Zip Code,LWIB Area,Notice Date
Catalyst Paper Inc.  ,Snowflake  ,85937  ,14  ,07/30/2012 
Cedar Lane  ,Payson  ,85650  ,2  ,05/18/2020 
Cellco Partnership dba Verizon Wireless  ,Phoenix  ,85044  ,7  ,07/27/2011 
Cementation  ,Sandy  ,84070  ,2  ,12/10/2012 
CEMEX  ,Tucson  ,85743  ,6  ,11/22/2010 
CenturyLink  ,New Century  ,66031  ,5  ,02/26/2014 
"Chevron Mining, Inc. McKinley Mine  ",Gallup  ,87305  ,15  ,02/08/2012 
Cinemark  ,Tucson  ,85713  ,6  ,04/01/2020 
"Citigroup, Inc.  ",Phoenix  ,85044  ,7  ,07/30/2010 
civana  ,Carefree  ,85377  ,7  ,04/03/2020 
civana  ,Carefree  ,85377  ,7  ,04/03/2020 
CMA CGM (America) LLC  ,Scottsdale  ,85254  ,7  ,01/03/2020 
Coach-Net Services Group  ,Lake Havasu City  ,86403  ,11  ,07/27/2010 
Cocopah Bend RV Resort and Golf  ,Yuma  ,85364  ,9  ,04/07/2020 
Cocopah Casino and Resort  ,Somerton  ,85350  ,9  ,04/07/2020 
Cocopah indian Tribe  ,Somerton  ,85350  ,9  ,04/07/2020 
Cody Inc.  ,Phoenix  ,85034  ,5  ,08/01/2013 
Cognizant  ,Phoenix  ,85021  ,5  ,12/18/2019 
Combat Tactical Training Range  ,Yuma  ,85365  ,9  ,02/07/2019 
Community Partners Inc  ,Tucson  ,85711  ,6  ,07/27/2015 
Compass USA - Holy Cross  ,Tucson  ,85621  ,6  ,12/30/2019 
Compass USA - St Joseph's  ,Tucson  ,85711  ,6  ,12/30/2019 
Compass USA - St Mary' Hospital  ,Tucson  ,85745  ,6  ,12/30/2019 
Conair Corporation  ,Stamford  ,06902  ,7  ,05/13/2019 
Concentrix Corporation  ,Tucson  ,85705  ,6  ,04/05/2019 
Concepts Crew (CPES)  ,Tucson  ,85750  ,6  ,05/18/2020 
Conifer Health Solutions  ,Phoenix  ,85020  ,5  ,02/28/2019 
Covance Laboratories Inc.  ,Chandler  ,852861703  ,7  ,05/02/2012 
COX Automotive  ,Phoenix  ,85040  ,5  ,05/08/2020 
Crowne Plaza Hotel  ,Phoenix  ,85029  ,7  ,06/30/2010 
Da Vita Rx  ,Coppell  ,75019  ,7  ,04/19/2017 
"DAL Global Services, LLC  ",Atlanta  ,303206001  ,5  ,11/16/2015 
DataSphere Technologies  ,Bellevue  ,98008  ,7  ,05/30/2016 
Davidson Hotels & Resorts  ,Alanta  ,30346  ,7  ,06/26/2014 
Delaware North Companies Travel Hospitality Serv  ,Buffalo  ,14202  ,5  ,12/20/2013 
Deluxe Corporation  ,Phoenix  ,850347244  ,7  ,05/24/2011 
Denny's (Beshay Enterprises)  ,Murrieta  ,92562  ,2003  ,03/23/2020 
Denny's (Beshay Enterprises)  ,Murrieta  ,92562  ,5  ,03/23/2020 
Denny's (Beshay Enterprises)  ,Murrieta  ,92562  ,5  ,03/23/2020 
Denny's (Beshay Enterprises)  ,Murrieta  ,92562  ,5  ,03/23/2020 
Denny's (Beshay Enterprises)  ,Murrieta  ,92562  ,5  ,03/23/2020 
Denny's (Beshay Enterprises)  ,Murrieta  ,92562  ,5  ,03/23/2020 
"DeVry, Inc.  ",Phoenix  ,85021  ,7  ,06/17/2011 
Dexcom  ,San Diego  ,92121  ,7  ,02/26/2019 
DialAmerica Marketing  ,Phoenix  ,85040  ,5  ,03/04/2019 
Direct Energy  ,Houston  ,77046  ,7  ,04/30/2018 
