Company,City,Effective Date,Workforce Affected
"usi services group , inc.",chattanooga,3/20/2020,23695
"Barney's, Inc.",Lyndhurst,2/13/2020,23
"Barneys, Inc.",Lyndhurst,3/6/2020,21
Berry Global,Phillipsburg,4/22/2020,150
"FedEX Ground Package System, Inc.",Edison,2/3/2020,0
International Vitamin Corportion,Irvington,6/1/2020,110
Keurig Dr Pepper Inc.,Plano,4/30/2020,73
"LogMeIn USA, Inc.",Jersey City,2/13/2020,20
MONOC - Monmouth Ocean Hospital Services Corp.,Wall,4/1/2020,320
Manufacturers & Trust Company (dba) M&T Bank,Buffalo,5/8/2020,149
PharMEDium Healthcare Corporation,Dayton,4/20/2020,287
Transform SR LLC,New Brunswick,4/12/2020,48
A. C. Moore Incorporated,Berlin,2/9/2020,383
"Beacon Health Options, Inc,",Boston,12/29/2019,175
Darby Development LLC,Oceanport,2/15/2020,80
"Event Solutions International, Inc.*dba Motus One*",Somerset,12/20/2019,30
Horizon America Supply Chain Solutions Inc.,Hamilton Township,4/30/2020,108
"Kline Construction Co., Inc.",Galloway,12/19/2019,73
QVR International LLC,Edison,1/17/2020,2
Sbar's Incorporated,Moorestown,2/13/2020,82
Barneys New York,Lyndhurst,12/15/2019,263
Barneys New York Lyndhurst,Lyndhurst,12/31/2019,215
"Melinta Therapeutics, Inc.",Morristown,2/14/2020,61
Oakwood Worldwide,Totowa,2/3/2020,11
Alcami Corporation,Edison,12/27/2019,27
CarePoint Health Management Associates,Jersey City,1/13/2020,241
"Community Housecall Providers, LLC",Jersey City,1/13/2020,17
"GARDEN STATE HEALTHCARE ASSOCIATES, LLC",Jersey City,1/13/2020,161
"HUMC Opco, LLC, d/b/a CarePoint Health ¿ Hoboken University Medical Center",Hoboken,1/13/2020,1038
"Hudson Hospital Opco LLC, d/b/a CarePoint Health ¿ Christ Hospital",Jersey City,1/13/2020,1074
Lord & Taylor,Moorestown,1/31/2020,81
Neiman Marcus Last Call,Elizabeth,11/27/2019,25
"New Jersey Medical and Health Associates, LLC d/b/a CarePoint Health Medical Group",Old Bridge,1/13/2020,49
"Quality Care Associates, LLC",Jersey City,1/13/2020,159
Barney's New York - Lyndhurst,Lyndhurst,11/1/2019,311
Barneys New York,New York,11/1/2019,311
Destination Maternity Corporation - Florence,Florence,12/21/2019,212
Destination Maternity Corporation - Moorestown,Moorestown,12/21/2019,430
Givaudan Flavors Corp. - Cranbury,Cranbury,12/13/2019,4
Givaudan Flavors Corportion - Middlesex,Middlesex,12/13/2019,100
Lord & Taylor,Woodbridge,12/24/2019,84
"WestRock, CP, LLC",,,
CONAIR,East Windsor,11/29/2019,98
"Avenue Stores, LLC",Rochelle Park,9/30/2019,152
Baker & Taylor,Bridgewater,5/1/2019,244
Bed Bath & Beyond,Union,11/15/2019,80
"Daiichi Sankyo, Inc.",Basking Ridge,10/7/2019,68
First Transit,Lawnside,10/19/2019,203
"Nestle, USA",Keasbey,10/18/2019,64
Sodexo -West Orange,West Orange,7/22/2019,75
Southwest Airlines Co.,Dallas,11/3/2019,118
"The Dress Barn, Inc.; DBX, Inc., a subsidiary of The Dress Barn, Inc.; Ascena Retail Group, Inc.",Mahwah,7/22/2019,167
"The Dress Barn, Inc.; DBX, Inc., a subsidiary of The Dress Barn, Inc.; Ascena Retail Group, Inc.",Mahwah,7/22/2019,212
"Western Union, LLC and Western Union Business Solutions USA",Montvale,10/13/2019,192
"Crestron Electronics, Inc,",ROCKLEIGH,6/27/2019,1
First Student,Hampton,9/15/2019,95
"Futurewei Technologies, Inc.",Bridgewater,9/23/2019,49
HMS Host,Trenton,9/6/2019,308
Hopatcong Board of Education,Hopatcong,6/30/2019,1
Mennellas Super Chicken LLC,Paterson,7/1/2019,5
"Prime Flight Aviation Services, Inc.",Newark,10/8/2019,735
WSFS Bank,Burlington,8/30/2019,14
