Company,City,Effective Date,Workforce Affected
The Great Atlantic & Pacific Tea Co. - A&P-Jersey City,Jersey City,11/26/2015,103
The Great Atlantic & Pacific Tea Co. - A&P-Kenilworth,Kenilworth,11/26/2015,157
The Great Atlantic & Pacific Tea Co. - A&P-Ledgewood,Ledgewood,11/26/2015,13
The Great Atlantic & Pacific Tea Co. - A&P-Little Silver,Little Silver,11/26/2015,62
The Great Atlantic & Pacific Tea Co. - A&P-Mahwah,Mahwah,11/26/2015,138
The Great Atlantic & Pacific Tea Co. - A&P-Marlboro,Marlboro,11/26/2015,64
The Great Atlantic & Pacific Tea Co. - A&P-Metuchen,Metuchen,11/26/2015,13
The Great Atlantic & Pacific Tea Co. - A&P-Midland Park,Midland Park,11/26/2015,162
The Great Atlantic & Pacific Tea Co. - A&P-Milltown,North Brunswick,11/26/2015,103
The Great Atlantic & Pacific Tea Co. - A&P-Montclair,Montclair,11/26/2015,76
The Great Atlantic & Pacific Tea Co. - A&P-Mt Olive,Mt Olive,11/26/2015,88
The Great Atlantic & Pacific Tea Co. - A&P-Navesink,Navesink,11/26/2015,38
The Great Atlantic & Pacific Tea Co. - A&P-New Providence,New Providence,11/26/2015,102
The Great Atlantic & Pacific Tea Co. - A&P-Oak Ridge,Oak Ridge,11/26/2015,98
The Great Atlantic & Pacific Tea Co. - A&P-Old Bridge,Old Bridge,11/26/2015,116
The Great Atlantic & Pacific Tea Co. - A&P-Old Tappan,Old Tappan,11/26/2015,76
The Great Atlantic & Pacific Tea Co. - A&P-Ortley Beach,Ortley Beach,11/26/2015,164
The Great Atlantic & Pacific Tea Co. - A&P-Park Ridge,Park Ridge,11/26/2015,88
The Great Atlantic & Pacific Tea Co. - A&P-Point Pleasant Beach,Point Pleasant Beach,11/26/2015,13
The Great Atlantic & Pacific Tea Co. - A&P-Pompton Lakes,Pompton Lakes,11/26/2015,100
The Great Atlantic & Pacific Tea Co. - A&P-Randolph,Randolph,11/26/2015,87
The Great Atlantic & Pacific Tea Co. - A&P-Saddle Brook,Saddle Brook,11/26/2015,97
The Great Atlantic & Pacific Tea Co. - A&P-South Plainfield,South Plainfield,11/26/2015,117
The Great Atlantic & Pacific Tea Co. - A&P-Summit,Summit,11/26/2015,10
The Great Atlantic & Pacific Tea Co. - A&P-Sussex,Sussex,11/26/2015,107
The Great Atlantic & Pacific Tea Co. - A&P-Tinton Falls,Tinton Falls,11/26/2015,76
The Great Atlantic & Pacific Tea Co. - A&P-Township of Washington,Township of Washington,11/26/2015,81
The Great Atlantic & Pacific Tea Co. - A&P-Vernon,Vernon,11/26/2015,122
The Great Atlantic & Pacific Tea Co. - A&P-Wall Township,Wall Township,11/26/2015,135
The Great Atlantic & Pacific Tea Co. - A&P-Warren,Warren,11/26/2015,82
The Great Atlantic & Pacific Tea Co. - A&P-Washington,Washington,11/26/2015,58
The Great Atlantic & Pacific Tea Co. - A&P-Wayne,Wayne,11/26/2015,81
The Great Atlantic & Pacific Tea Co. - A&P-West New York,West New York,11/26/2015,87
The Great Atlantic & Pacific Tea Co. - A&P-Westwood,Westwood,11/26/2015,12
The Great Atlantic & Pacific Tea Co. - A&P-Woodcliff Lake,Woodcliff Lake,11/26/2015,176
The Great Atlantic & Pacific Tea Co. - A&P-Woodland Park,Woodland Park,11/26/2015,128
The Great Atlantic & Pacific Tea Co. - Food Basics-Belleville,Belleville,11/26/2015,73
The Great Atlantic & Pacific Tea Co. - Food Basics-Fairview,Fairview,11/26/2015,82
The Great Atlantic & Pacific Tea Co. - Food Basics-Glen Rock,Glen Rock,11/26/2015,67
The Great Atlantic & Pacific Tea Co. - Food Basics-North Bergen,North Bergen,11/26/2015,96
The Great Atlantic & Pacific Tea Co. - Food Basics-Passaic,Passaic,11/26/2015,63
The Great Atlantic & Pacific Tea Co. - Food Basics-Paterson,Paterson,11/26/2015,81
The Great Atlantic & Pacific Tea Co. - Food Basics-Paterson,Paterson,11/26/2015,101
The Great Atlantic & Pacific Tea Co. - Pathmark-Avenel,Avenel,11/26/2015,86
The Great Atlantic & Pacific Tea Co. - Pathmark-Bergenfield,Bergenfield,11/26/2015,132
The Great Atlantic & Pacific Tea Co. - Pathmark-Bricktown,Bricktown,11/26/2015,101
The Great Atlantic & Pacific Tea Co. - Pathmark-Edgewater,Edgewater,11/26/2015,160
The Great Atlantic & Pacific Tea Co. - Pathmark-Elmwood Park,Elmwood Park,11/26/2015,121
The Great Atlantic & Pacific Tea Co. - Pathmark-Fairlawn,Fairlawn,11/26/2015,101
The Great Atlantic & Pacific Tea Co. - Pathmark-Garwood,Garwood,11/26/2015,98
The Great Atlantic & Pacific Tea Co. - Pathmark-Hackensack,Hackensack,11/26/2015,86
The Great Atlantic & Pacific Tea Co. - Pathmark-Hazlet,Hazlet,11/26/2015,82
The Great Atlantic & Pacific Tea Co. - Pathmark-Hopelawn,Hopelawn,11/26/2015,82
The Great Atlantic & Pacific Tea Co. - Pathmark-Irvington,Irvington,11/26/2015,145
The Great Atlantic & Pacific Tea Co. - Pathmark-Jersey City,Jersey City,11/26/2015,155
The Great Atlantic & Pacific Tea Co. - Pathmark-Jersey City,Jersey City,11/26/2015,99
The Great Atlantic & Pacific Tea Co. - Pathmark-Kinnelon,Kinnelon,11/26/2015,108
The Great Atlantic & Pacific Tea Co. - Pathmark-Lake Hopatcong,Lake Hopatcong,11/26/2015,86
The Great Atlantic & Pacific Tea Co. - Pathmark-Ramsey,Ramsey,11/26/2015,87
The Great Atlantic & Pacific Tea Co. - Pathmark-South Orange,South Orange,11/26/2015,119
The Great Atlantic & Pacific Tea Co. - Pathmark-Ventnor,Ventnor,11/26/2015,125
The Great Atlantic & Pacific Tea Co. - Pathmark-Weehawken,Weehawken,11/26/2015,124
The Great Atlantic & Pacific Tea Co. -Pathmark-Elizabeth,Elizabeth,11/26/2015,76
The Great Atlantic & Pacific Tea Co. -Pathmark-Garwood,Garwood,11/26/2015,98
The Great Atlantic & Pacific Tea Co. -Pathmark-Landing,Landing,11/26/2015,79
The Great Atlantic & Pacific Tea Co. -Pathmark-Middlesex,Middlesex,11/26/2015,82
The Great Atlantic & Pacific Tea Co. -Pathmark-Montclair,Montclair,11/26/2015,106
The Great Atlantic & Pacific Tea Co. -Pathmark-Newark,Newark,11/26/2015,128
The Great Atlantic & Pacific Tea Co. -Pathmark-Palisades Park,Palisades Park,11/26/2015,8
The Great Atlantic & Pacific Tea Co. -Pathmark-Parsippany,Parsippany,11/26/2015,84
The Great Atlantic & Pacific Tea Co.-Pathmark-Newark,Newark,11/26/2015,124
"The Great Atlantic & Pacific Team Company, Inc.",Montvale,10/21/2015,144
First Student,Trenton,9/1/2015,135
Frutarom,North Bergen,8/31/2015,50
Great Atlantic & Pacific Tea Co. - Pathmark,Edison,9/19/2015,101
The Great Atlantic & Pacifi Tea Company - Pathmark,Old Bridge,9/19/2015,95
The Great Atlantic & Pacific Tea Co. - Pathmark,Toms River,9/19/2015,121
"The Great Atlantic & Pacific Tea Co., -Pathmark",Belleville,9/19/2015,113
The Great Atlantic & Pacific Tea Company - A & P,Holmdel,9/19/2015,87
The Great Atlantic & Pacific Tea Company - Pathmark,Linden,9/19/2015,120
The Great Atlantic & Pacific Tea Company - Pathmark,Clifton,9/19/2015,125
The Great Atlantic & Pacific Tea Company - Pathmark,East Brunswick,9/19/2015,105
Dale and Thomas Popcorn,Englewood,8/28/2015,53
"GlaxoSmithKline Consumer Healthcare, LP",Parsippany,5/1/2015,350
"Johnson Controls, Inc.",Princeton,7/31/2015,56
"Johnson Controls, Inc.",Princeton,7/31/2015,32
"Johnson Controls, Inc.",Bloomsbury,7/31/2015,11
"Johnson Controls, Inc.",Plainsboro,7/31/2015,17
"Johnson Controls, Inc.",New Brunswick,7/31/2015,111
"Johnson Controls, Inc.",Pennington,7/31/2015,83
Red Bank Acquisition 1 LLC DBA Chapin Hill @ Red Bank,Red Bank,8/1/2015,0
"Zoetis, Inc.",Florham Park,8/11/2015,165
"Zucker, Goldberg and Ackerman, LLC",Mountainside,8/24/2015,289
"Avis Budget Car Rental, LLC",Parsippany,9/1/2015,17
Blair Road Haulage LLC,Avenel,7/12/2015,22
Blair Road Logistics LLC,Avenel,7/12/2015,85
Gerresheimer Glass Inc.,Millville,7/27/2015,130
Gerresheimer Glass Inc.,Millville,7/27/2015,14
Kmart Corporation,Closter,8/8/2015,102
Middlesex Avenue Haulage LLC,Carteret,7/12/2015,45
"Middlesex Avenue Logistics, LLC",Carteret,7/12/2015,364
Port Carteret Drive Logistics LLC,Carteret,7/12/2015,81
Sodexo Dining Services,Hoboken,7/1/2015,116
"Airway Cleaners, LLC",New York,6/17/2015,72
Continuum Health Alliance,Marlton,6/5/2015,88
Eisai Inc.,Woodcliff Lake,6/9/2015,153
Freshcut Produce,Newark,6/1/2015,100
"Ginsburg Bakery, Inc.",Atlantic City,6/12/2015,159
Mater Dei Prep,Middletown,6/30/2015,46
"Mercedes-Benz USA, LLC",Montvale,6/30/2015,259
Saint Clare's Health Services,Denville,6/30/2015,2511
Aramark,West Long Branch,5/29/2015,87
Holy Family School,Lakewood,6/30/2015,28
Incarnation-Saint James School,Ewing,6/30/2015,28
St. Denis School,Manasquan,6/30/2015,25
Aramark,Philadelphia,3/31/2015,339
Hard Rock Cafe,Atlantic City,4/22/2015,73
New Jersey Sports & Exposition Authority - IZOD CENTER,East Rutherford,4/3/2015,1400
Pictorial Offset Corporation,Carlstadt,2/6/2015,113
"Schwan Cosmetics USA, Inc.",Piscataway,4/24/2015,111
Dale and Thomas Growers LLC,Englewood,3/27/2015,56
Frutarom,Branchburg,5/31/2015,24
"Liberty House Nursing Home of Jersey City, Inc.",Jersey City,3/1/2015,162
"Macy's Inc., Ledgewood Mall Store",Ledgewood,3/21/2015,79
Merck - Branchburg,Branchburg,3/16/2015,172
New Jersey Sports & Exposition Authority,East Rutherford,3/9/2015,1100
"Vira Manufacturing Company, LLC",Perth Amboy,3/13/2015,148
