Closing or Layoff,Initial Report Date,Planned Starting Date,Company,City,Planned # Affected Employees
Layoff *,10/20/2009,12/14/2009,COOPER HOSIERY MILLS,Fort Payne,51
Closing *,8/5/2009,10/2/2009,CARLISLE TIRE AND WHEEL COMPANY,Heflin,50
Layoff *,10/7/2009,11/28/2009,ARAMARK HEALTHCARE SUPPORT SERVICES,Huntsville,163
Layoff *,9/21/2009,9/28/2009,"ABITIBI BOWATER INC., COOSA PINES OPERATIONS",Coosa Pines,90
Closing *,9/18/2009,11/15/2009,"ABITIBIBOWATER, INC.",Albertville,86
Closing *,9/10/2009,10/1/2009,"MOORE-HANDLEY, INC.",Pelham,200
Closing *,9/9/2009,2/1/2009,MORGAN RESEARCH CORPORATION,Huntsville,135
Closing *,8/31/2009,10/30/2009,"CONTINENTAL AUTOMOTIVE SYSTEMS US, INC.",Huntsville,1281
Layoff *,8/20/2009,10/16/2009,"TELEDYNE BROWN ENGINEERING, INC.",Tanner,140
Layoff *,8/17/2009,10/13/2009,"REGAL EMPLOYMENT, INC.",Hartselle,104
Closing *,2/9/2009,4/20/2009,CARGILL,Decatur,107
Layoff *,1/28/2009,12/1/2008,"FAIRFIELD SOUTHERN COMPANY, INC.",Fairfield,12
Closing *,2/6/2009,2/5/2009,WEYERHAEUSER CORP.,Pine Hill,300
Layoff *,2/5/2009,4/6/2009,ELWOOD STAFFING/NEW SOUTH EXPRESS,Lincoln,86
Closing *,2/3/2009,3/31/2009,BASF CORPORATION,Decatur,115
Layoff *,1/26/2009,3/27/2009,ELWOOD STAFFING/HONDA PLANT,Lincoln,706
Closing *,1/22/2009,3/21/2009,NORBORD,Lanett,127
Closing *,1/16/2009,1/31/2009,CUMMINGS SIGNS INC.,Fort Deposit,51
Layoff *,8/17/2009,10/14/2009,CR COMPRESSORS LLC,Hartselle,186
Closing *,8/6/2009,10/1/2009,"VANITY FAIR BRANDS, ADMIN.",Monroeville,61
Layoff *,8/6/2009,9/30/2009,"RUSSELL CORP., ADMIN. & CORPORATE",Alexander City,218
Layoff *,7/17/2009,9/15/2009,WINSTON FURNITURE COMPANY,Haleyville,108
Closing *,7/24/2009,9/22/2009,PILGRIM'S PRIDE,Athens,640
Layoff *,7/17/2009,9/13/2009,NORFOLK SOUTHERN CORPORATION,Muscle Shoals,64
Layoff *,7/14/2009,9/22/2009,"TELEDYNE BROWN ENGINEERING, INC.",Huntsville,78
Closing *,6/16/2009,6/15/2009,"CHAPMAN FOREST PRODUCTS, INC.",Chapman,263
Closing *,6/11/2009,10/11/2009,KMART CORPORATION STORE #7362,Rainbow City,71
Closing *,6/4/2009,7/15/2009,"WOODLAND (CULLMAN COUNTY MEDICAL CLINIC, INC.)",Cullman,150
Closing *,5/28/2009,7/31/2009,TATE & LYLE SUCRALOSE LLC,McIntosh,126
Closing *,5/20/2009,10/30/2009,HAGER COMPANIES,Oxford,93
Closing *,12/9/2009,5/1/2010,"NEW ERA CAP, DISTRIBUTION CENTER",Mobile,60
Closing *,3/16/2009,5/17/2009,BRUNO'S,Mobile,110
Closing *,3/16/2009,5/17/2009,BRUNO'S,Mobile,77
Closing *,5/22/2009,7/20/2009,PACE INDUSTRIES,Auburn,147
Closing *,3/16/2009,5/17/2009,BRUNO'S,Mobile,58
Closing *,3/16/2009,5/17/2009,FOOD WORLD,Mobile,55
Closing *,3/16/2009,5/17/2009,FOOD WORLD,Mobile,55
Closing *,3/16/2009,5/17/2009,FOOD WORLD,Mobile,47
Closing *,3/16/2009,5/17/2009,FOOD WORLD,Mobile,52
Closing *,3/16/2009,5/17/2009,FOOD WORLD,Mobile,48
Closing *,3/16/2009,5/17/2009,FOOD WORLD,Theodore,30
Closing *,3/16/2009,5/17/2009,FOOD WORLD,Saraland,30
Closing *,3/11/2009,5/8/2009,"ARMSTRONG WORLD INDUSTRIES, INC. (3)",Mobile,172
Closing *,3/9/2009,5/31/2009,SEARS HOLDINGS,Saraland,74
Closing *,5/20/2009,7/14/2009,VANITY FAIR BRANDS-KNITTING FACILITY,Jackson,69
Closing *,5/19/2009,7/14/2009,VANITY FAIR BRANDS-DYE/FINISH FACILITY,Monroeville,141
Closing *,5/11/2009,11/6/2009,ACCELLENT,Huntsville,78
Closing *,5/7/2009,6/26/2009,RIGID BUILDING SYSTEMS,Gadsden,73
Layoff *,8/25/2009,7/27/2009,HARBISON-WALKER REFRACTORIES COMPANY,Fairfield,74
Layoff *,7/29/2009,11/13/2009,ASSURANT EMPLOYEE BENEFITS,Birmingham,92
Layoff *,7/10/2009,9/8/2009,UNITED RETAIL SERVICE (URS),Birmingham,16
Layoff *,6/29/2009,5/30/2009,"SUN MICROSYSTEMS, INC.",Birmingham,12
Closing *,5/8/2009,5/19/2009,UNITED STATES STEEL CORPORATION,Fairfield,1711
Layoff *,4/16/2009,12/1/2008,FLEX-N-GATE-ALABAMA,McCalla,46
Closing *,4/15/2009,4/9/2009,CLIFF'S NATURAL RESOUCES INC. - OAK GROVE MINE,Adger,47
Closing *,3/16/2009,5/17/2009,FOOD WORLD,McCalla,74
Closing *,4/13/2009,7/1/2009,RUSSELL CORP. (WOVEN FABRICS PLANT),Alexander City,252
Closing *,3/16/2009,5/17/2009,FOOD WORLD,Trussville,42
Closing *,3/16/2009,5/17/2009,FOOD WORLD,Birmingham,42
Closing *,3/16/2009,5/17/2009,FOOD WORLD,Hueytown,60
Closing *,3/16/2009,5/17/2009,FOOD WORLD,Birmingham,40
Closing *,3/16/2009,5/17/2009,BRUNO'S SUPERMARKETS,Birmingham,87
Closing *,3/16/2009,5/17/2009,BRUNO'S SUPERMARKETS,Hoover,70
Closing *,3/16/2009,5/17/2009,BRUNO'S SUPERMARKETS,Birmingham,60
Closing *,3/16/2009,5/17/2009,BRUNO'S SUPERMARKETS,Birmingham,89
Closing *,3/16/2009,5/17/2009,BRUNO'S SUPERMARKETS,Hoover,106
Closing *,3/16/2009,5/17/2009,BRUNO'S SUPERMARKETS,Birmingham,73
Layoff *,4/10/2009,4/30/2009,SCIENCE APPLICATIONS INTERNATIONAL CORP.,Anniston,90
Closing *,3/16/2009,5/17/2009,FOOD WORLD,Gardendale,48
Closing *,3/16/2009,5/17/2009,FOOD WORLD,Dora,47
Closing *,4/1/2009,4/30/2009,ADVANCED FEDERAL SERVICES CORPORATION,Madison,69
Closing *,4/1/2009,6/5/2009,ALABAMA RIVER NEWSPRINT MILL,Perdue Hill,167
Layoff *,3/30/2009,3/31/2009,JACK HUGHSTON MEMORIAL HOSPITAL,Phenix City,80
Closing *,3/16/2009,5/17/2009,BRUNO'S SUPERMARKETS,Tuscaloosa,103
Closing *,3/16/2009,5/17/2009,BRUNO'S SUPERMARKETS,Alabaster,54
Closing *,3/16/2009,5/17/2009,BRUNO'S SUPERMARKETS,Tuscaloosa,106
Closing *,12/2/2008,11/21/2008,INTERNATIONAL CODE COUNCIL,Birmingham,6
Closing *,11/5/2008,1/23/2009,CERTAINTEED CORPORATION,Birmingham,50
Closing *,10/20/2008,10/20/2008,PHYSICIAN'S MEDICAL CENTER,Birmingham,1000
Layoff *,5/2/2008,7/1/2008,"BORAL BRICKS, INC.",Bessemer,39
Closing *,4/25/2008,6/27/2008,TELETECH,Fairfield,272
Closing *,4/24/2008,9/1/2008,CARDINAL HEALTH,Bessemer,100
Closing *,4/9/2008,6/15/2008,FIRST AMERICAN BANK,Birmingham,78
Closing *,2/5/2008,4/1/2008,SKYWEST AIRLINES,Birmingham,23
Layoff *,2/4/2008,4/1/2008,EDS,Birmingham,261
Closing *,9/25/2008,9/24/2008,"BILL HEARD CHEVROLET, INC.",Huntsville,158
Closing *,9/30/2008,11/14/2008,"ALTADIS USA, INC. (SELMA CIGAR FACTORY)",Selma,213
Closing *,9/10/2008,9/11/2008,BAE SYSTEMS (SECOND CHANCE BODY ARMOR),Geneva,194
Closing *,7/2/2008,4/30/2009,ADVANCED FEDERAL,Anniston,69
Closing *,6/17/2008,6/26/2008,FRONTIER YARNS-LAFAYETTE,Lafayette,129
Layoff *,1/22/2008,3/17/2008,KNAUF INSULATION,Lanett,75
Closing *,1/9/2008,2/15/2008,ALBANY INTERNATIONAL-APPLETON WIRE DIVISION,Montgomery,96
Layoff *,1/4/2008,3/4/2008,STANDARD FURNITURE MFG. CO.,Frisco City,192
Layoff *,6/12/2008,8/10/2008,"HERFF JONES, INC.",Montgomery,43
Layoff *,6/3/2008,6/10/2008,"RUSSELL CORP., COOSA RIVER TEXTILES",Wetumpka,550
Closing *,6/3/2008,8/19/2008,OCCIDENTAL CHEMICAL CORPORATION,Muscle Shoals,47
Closing *,5/29/2008,7/31/2008,SHAW INDUSTRIES,Stevenson,418
Closing *,11/12/2008,1/10/2009,"GEORGIA-PACIFIC CORP., MONROEVILLE",Peterman,319
Closing *,3/27/2008,6/1/2008,DILLARD'S,Tuscaloosa,130
Closing *,3/25/2008,5/23/2008,PERFORMANCE FIBERS,Winfield,93
Closing *,3/20/2008,5/18/2008,GEORGIA PACIFIC WOOD PRODUCTS-TALLADEGA,Talladega,380
Closing *,3/12/2008,5/17/2008,DELTA AIR LINES,Huntsville,183
Closing *,3/10/2008,5/5/2008,"WESTPOINT HOME, INC. FAIRFAX DISTRIBUTION CENTER",Valley,315
Closing *,12/15/2008,2/11/2009,"W.Y. SHUGART & SONS, INC.",Fort Payne,60
Closing *,12/12/2008,12/12/2008,"PATRIOT HOMES, INC. (AKA SOUTHRIDGE HOMES)",Hamilton,125
Closing *,12/12/2008,2/27/2009,GILDAN,Fort Payne,738
Layoff *,12/15/2008,2/11/2008,"W.Y. SHUGART & SONS, INC.",Fort Payne,60
Closing *,12/9/2008,2/7/2009,VERTIS COMMUNICATIONS INC.,Sylacauga,283
Layoff *,11/19/2008,1/20/2009,BERRY PLASTICS CORP. COVALENCE SPECIALTY ADHESIVES,Albertville,96
Closing *,11/14/2008,1/15/2009,UNITED INDUSTRIAL (SPECTRUM BRANDS),Sylacauga,107
Closing *,11/17/2008,1/12/2009,LOUISIANA-PACIFIC CORP.,Thomasville,129
Closing *,11/5/2008,3/20/2008,PINKERTON GOVERNMENT SERVICES,Athens,194
Closing *,10/14/2008,12/29/2008,"FPMI SOLUTIONS, INC.",Arab,89
Closing *,11/20/2008,12/1/2008,WEST FRASER-CITRONELLE LUMBER MILL,Citronelle,102
Closing *,12/28/2007,2/29/2008,"MEADOWCRAFT, INC.",Birmingham,246
Layoff *,9/25/2007,9/1/2007,"PEMCO AEROPLEX, INC.",Birmingham,300
Closing *,9/14/2007,9/28/2007,SPRING AIR COMPANY,Birmingham,67
Closing *,4/30/2007,6/29/2007,"T&WA OF BIRMINGHAM, LLC",Birmingham,51
Closing *,4/12/2007,5/14/2007,"ARAMARK MANAGEMENT SERVICES, LTD. PARTNERSHIP",Birmingham,232
Closing *,2/13/2007,2/19/2007,PLEASANT GROVE NURSING AND REHABILITATION CTR. LLC,Pleasant Grove,175
Closing *,4/24/2007,6/22/2007,KOCH FOODS OF ALABAMA-SYLACAUGA,Sylacauga,243
Closing *,4/19/2007,6/20/2007,WEHADKEE YARN MILLS,Talladega,85
Closing *,4/4/2007,6/4/2007,"TYSON FOODS, INC. (HEFLIN)",Heflin,21
Closing *,3/23/2007,10/1/2010,AC FABRICATED PRODUCTS (JACKSON),Jackson,65
Layoff *,3/22/2007,5/21/2007,"TYSON FOODS, INC. (GADSDEN)",Gadsden,400
Closing *,2/20/2007,3/31/2007,"SOUTHERN PRIDE CATFISH, LLC",Demopolis,150
Layoff *,3/13/2007,5/12/2007,TRIANA INDUSTRIES,Triana,150
Closing *,3/5/2007,4/13/2007,LP BUILDING PRODUCTS-SELMA,Selma,107
Closing *,3/1/2007,3/12/2007,"RUSSELL CORP., PLANT NO. 10",Alexander City,425
Closing *,2/23/2007,4/27/2007,PENDA DALEVILLE (TRI-GLAS INDUSTRIES),Daleville,70
Closing *,2/5/2007,4/1/2007,ALUTIIQ-WACKENHUT SECURITY SERVICES,Redstone Arsenal,99
Closing *,1/19/2007,3/24/2007,ELASTIC CORPORATION,Columbiana,233
Closing *,1/16/2007,3/14/2007,"WESTPOINT HOME, INC., TRANSPORTATION CENTER",Valley,60
Closing *,7/26/2007,9/24/2007,WESTPOINT HOME-LANIER PLANT,Valley,300
Closing *,5/8/2007,9/1/2007,"VANITY FAIR BRANDS, LP",Monroeville,210
Closing *,5/4/2007,6/29/2007,WESTPOINT HOME-FAIRFAX MILL,Valley,30
Closing *,7/27/2007,7/31/2007,WELLSTONE MILLS-PLANT 1,Eufaula,125
Closing *,7/17/2007,9/14/2007,"DELTA APPAREL, INC.",Fayette,109
Layoff *,6/1/2007,7/28/2007,SARA LEE BAKERY GROUP,Dothan,99
Closing *,12/19/2007,2/8/2008,DIXIE-PACIFIC MFG. COMPANY,Gadsden,172
Closing *,12/10/2007,2/7/2008,WESTPOINT HOME-FAIRFAX FINISHING PLANT,Valley,200
Closing *,12/10/2007,2/7/2008,WESTPOINT HOME-FAIRFAX FABRICATION PLANT,Valley,650
Closing *,12/10/2007,4/30/2008,SPRINGS GLOBAL,Piedmont,325
Closing *,11/20/2007,1/13/2007,PARKDALE MILLS,Rockford,100
Closing *,12/4/2007,12/4/2007,WELLSTONE MILLS-PLANT 2,Eufaula,117
Closing *,11/27/2007,1/31/2008,CHAMPION HOME BUILDERS (GATEWAY HOMES),Guin,196
Layoff *,11/15/2007,1/24/2008,HALDEX BRAKE PRODUCTS CORP.,Prattville,85
Closing *,10/30/2007,1/1/2008,GENERAL CASUALTY INSURANCE,Montgomery,87
Closing *,5/29/2007,7/27/2007,WESTPOINT HOME-ABBEVILLE,Abbeville,700
Closing *,11/8/2007,1/6/2008,"WOLVERINE TUBE, INC.",Decatur,464
Closing *,10/31/2007,12/3/2007,DELPHI STEERING SYSTEMS,Athens,1020
Closing *,5/29/2007,7/27/2007,WESTPOINT HOME-GRIFFTEX CHEMICAL PLANT,Opelika,13
Closing *,10/3/2007,12/3/2007,BEAULIEU OF AMERICA,Boaz,140
Closing *,5/29/2007,7/27/2007,WESTPOINT HOME-OPELIKA FINISHING PLANT,Opelika,350
Closing *,10/2/2007,11/29/2007,WESTPOINT HOME-CARTER PLANT,Valley,350
Closing *,8/28/2007,11/20/2007,CONTINENTAL EAGLE CORP.,Prattville,150
Layoff *,9/5/2007,6/1/2008,REGIONS FINANCIAL CORP.,Montgomery,625
Layoff *,8/31/2007,11/2/2007,WISE ALLOYS LLC,Muscle Shoals,301
Layoff *,10/1/2007,11/30/2007,GAF MATERIALS CORP.,Mobile,97
Layoff *,8/10/2007,10/6/2007,SMURFIT-STONE CONTAINER,Brewton,75
Closing *,5/8/2007,5/31/2007,SENTINEL CONSUMER PRODUCTS,Anniston,73
Layoff *,11/9/2006,1/31/2007,"SAKS, INC.",Birmingham,90
Closing *,11/6/2006,3/15/2007,PARISIAN CORPORATE HEADQUARTER (BELK #953),Birmingham,414
Closing *,10/26/2006,11/8/2006,SODEXHO HEALTH CARE SERVICE-D/B/A CARRAWAY MED CTR,Birmingham,132
Layoff *,10/5/2006,12/6/2006,"DRUMMOND COMPANY, INC.",Adger,475
Layoff *,8/29/2006,9/25/2006,"SOUTHERN FAMILY MARKETS, LLC",Birmingham,278
Layoff *,8/8/2006,10/6/2006,CARDINAL HEALTH,Birmingham,49
Closing *,11/17/2006,12/29/2006,"VESTA INSURANCE GROUP, INC.",Birmingham,74
Layoff *,7/26/2006,9/29/2006,FEDERAL RESERVE OF ATLANTA,Birmingham,54
Layoff *,5/10/2006,6/10/2006,HOUSING AUTHORITY OF THE BIRMINGHAM DISTRICT,Birmingham,143
Closing *,2/7/2006,4/23/2006,KRAFT FOODS,Hoover,61
Closing *,1/4/2006,3/31/2006,MCRAE'S,Birmingham,87
Closing *,12/6/2006,12/31/2006,JOHNS MANVILLE COMPANY,Phenix City,150
Closing *,12/7/2006,2/5/2007,"RENFRO-CHARLESTON HOSIERY, LLC",Fort Payne,174
Closing *,12/1/2006,3/15/2007,PARISIAN DISTRIBUTION CENTER-BELK #741,Steele,84
Closing *,11/20/2006,1/10/2007,"WAVERLEE HOMES, INC.",Tuscumbia,92
Closing *,11/2/2006,12/31/2006,IMPERIAL MANUFACTURING,Montgomery,30
Closing *,11/1/2006,12/31/2006,SCHNEIDER NATIONAL CARRIERS,Evergreen,52
Layoff *,10/25/2006,12/22/2006,"SHAW INDUSTRIES GROUP, INC.",Stevenson,236
Closing *,10/25/2006,12/24/2006,"THE ALAN WHITE COMPANY, INC.",Sulligent,124
Closing *,10/16/2006,12/6/2006,"CREATIVE ENGINEERED POLYMER PRODUCTS, LLC.",Tuscaloosa,145
Closing *,10/4/2006,12/29/2006,PERFORMANCE FIBERS,Scottsboro,139
Closing *,9/22/2006,10/31/2006,"LEAR SIEGLER SERVICES, INC.",Fort Rucker,421
Layoff *,9/15/2006,11/15/2006,ALATECH HEALTHCARE PRODUCTS,Eufaula,50
Layoff *,9/15/2006,11/15/2006,ALATECH HEALTHCARE PRODUCTS,Slocomb,100
Closing *,9/7/2006,10/31/2006,AC FABRICATED PRODUCTS-CHATOM,Chatom,146
Closing *,9/5/2006,11/4/2006,WESTPOINT HOME-LANETT,Lanett,370
Closing *,9/5/2006,11/4/2006,WESTPOINT HOME-OPELIKA,Opelika,325
Closing *,7/11/2006,7/1/2009,"BF GOODRICH TIRE MFG., OPELIKA",Opelika,1350
Closing *,7/5/2006,11/30/2006,ACE PRODUCTS,Lineville,102
Closing *,6/30/2006,8/29/2006,PALM HARBOR HOMES,Boaz,215
Closing *,6/16/2006,5/24/2006,INDIES HOUSE,Hackleburg,356
Layoff *,3/8/2006,8/18/2006,COOPER HAND TOOLS,Cullman,52
Closing *,6/12/2006,9/1/2006,"DELTA AIRLINES, INC.",Montgomery,150
Layoff *,6/6/2006,6/9/2006,NORTHROP GRUMMAN CORPORATION,Redstone Arsenal,97
Closing *,6/2/2006,5/9/2008,JOHNSON CONTROLS,Montgomery,213
Closing *,5/22/2006,7/25/2006,"AVONDALE MILLS INC., PELL CITY",Pell City,255
Closing *,5/22/2006,7/25/2006,"AVONDALE MILLS, INC., SYLACAUGA",Sylacauga,1023
Closing *,3/28/2006,5/26/2006,"WESTPOINT HOME, INC.",Columbia,110
Closing *,3/7/2006,4/17/2006,PHILLIPS-VAN HEUSEN,Ozark,538
Closing *,2/22/2006,3/22/2009,GLOBE METALLURGICAL INC.,Selma,60
Layoff *,3/2/2006,4/23/2006,"3D LABS, INC.",Madison,84
Closing *,2/10/2006,4/6/2006,AC FABRICATED PRODUCTS,Silas,50
Layoff *,1/24/2006,1/12/2007,DESOTO MILLS (RUSSELL CORPORATION),Fort Payne,220
Layoff *,1/24/2006,3/1/2010,DESOTO MILLS (RUSSELL CORPORATION),Fort Payne,104
Closing *,1/25/2006,5/16/2008,MASONITE INTERNATIONAL CORP.,Mobile,260
Layoff *,12/5/2005,1/31/2006,ACCENTURE LLP,Hoover,125
Layoff *,11/30/2005,1/31/2006,ACCENTURE LLP,Birmingham,54
Closing *,6/21/2005,8/20/2005,"WINN DIXIE FOODS, INC. STORE NO. 532",Vestavia Hills,75
Closing *,5/12/2005,5/5/2005,"SERVICE TRANSPORT, INC.",Birmingham,26
Closing *,3/24/2005,5/25/2005,DEL MONTE FOODS,Birmingham,80
Closing *,3/21/2005,4/30/2005,HEALTHSOUTH CORPORATION,Birmingham,111
Layoff *,1/31/2005,3/31/2005,FEDERAL RESERVE BANK OF ATLANTA-BIRMINGHAM BRANCH,Birmingham,70
Closing *,1/26/2005,3/15/2005,PARISIAN,Fairfield,87
Layoff *,8/1/2005,10/1/2005,"JOHNSTON TEXTILES, INC.",Phenix City,170
Closing *,6/21/2005,8/20/2005,"WINN DIXIE FOODS, INC. STORE NO. 0519",Greenville,70
Closing *,6/21/2005,8/20/2005,"WINN DIXIE FOODS, INC. STORE NO. 0529",Alabaster,75
Closing *,6/21/2005,8/20/2005,"WINN DIXIEFOODS, INC. STORE NO. 1914",Madison,89
Closing *,6/21/2005,9/16/2005,WINN DIXIE GROCERY DISTRIBUTION CENTER,Montgomery,154
Closing *,5/23/2005,6/3/2005,"SWEET SUE KITCHENS, INC.",Athens,161
Closing *,5/12/2005,5/5/2005,"SERVICE TRANSPORT, INC.",Montgomery,15
Closing *,5/12/2005,5/5/2005,"SERVICE TRANSPORT, INC.",Decatur,25
Layoff *,4/29/2005,6/26/2005,GULF STATES PAPER CORPORATION,Tuscaloosa,80
Closing *,3/24/2005,3/24/2005,CONAGRA FOODS,Montgomery,365
Layoff *,12/13/2005,1/29/2006,RUSSELL CORP. (ALEX CITY),Alexander City,747
Closing *,12/13/2005,1/29/2006,RUSSELL CORP. (PLANT #7-BLEACHERY),Alexander City,180
Closing *,12/8/2005,2/13/2006,"WRIGHT-K TECHNOLOGY, INC.",Madison,150
Layoff *,11/15/2005,11/22/2006,CITATION-SOUTHERN ALUMINUM,Bay Minette,124
Closing *,11/1/2005,12/30/2005,"WESTPOINT HOME, INC. (FAIRVIEW PLANT)",Valley,285
Closing *,10/6/2005,12/2/2005,HEALTHSOUTH,Pelham,70
Closing *,10/6/2005,12/5/2005,CARGILL,Decatur,106
Layoff *,9/27/2005,12/15/2008,"BAE SYSTEMS, 10TH ST. FORGE FACILITY",Anniston,222
Closing *,9/14/2005,3/31/2006,COMMSCOPE,Scottsboro,180
Layoff *,9/19/2005,11/15/2005,"GETRONICS ENTERPRISE MANAGED SEVICES, LLC",Hartselle,5
Closing *,9/16/2005,11/14/2005,NATIONAL LINEN AND UNIFORM SERVICE,Montgomery,102
Layoff *,9/6/2005,11/5/2005,"KAPPLER, INC.",Guntersville,169
Closing *,8/19/2005,9/2/2005,"WINN DIXIE FOODS, INC.",Florence,76
Layoff *,2/15/2005,4/15/2005,"MUNDY MAINTENANCE AND SERVICES, LLC",Decatur,224
Layoff *,2/14/2005,4/15/2005,SOLUTIA,Decatur,208
Closing *,2/7/2005,2/7/2005,TEE JAYS,Florence,220
Closing *,2/2/2005,9/30/2005,"THE BRIDGE, INC., EUFAULA YOUTH CENTER",Clayton,91
Closing *,8/24/2005,9/19/2005,"FISHKING PROCESSORS, INC.",Bayou La Batre,90
Closing *,1/26/2005,1/31/2005,PARISIAN,Birmingham,102
Closing *,1/21/2005,3/8/2005,"SIEMANS LOGISTICS AND ASSEMBLY SYSTEMS, INC.",Birmingham,83
Layoff *,1/11/2005,3/11/2005,"BRUNO'S SUPERMARKETS, INC.",Birmingham,175
Closing *,1/7/2005,1/23/2005,"FUJICOLOR PROCESSING, INC.",Birmingham,89
Closing *,1/20/2004,3/16/2004,RICH'S-MACY'S CENTURY PLAZA STORE,Birmingham,75
Closing *,11/24/2004,1/30/2005,WACHOVIA CORPORATION,Montgomery,50
Closing *,12/29/2004,1/3/2005,CHAMPION HOMES OF BOAZ (CHANDELEUR HOMES),Boaz,180
Closing *,12/3/2004,12/31/2004,"THE BRIDGE, INC.",Decatur,3
Closing *,10/12/2004,12/30/2004,"MEDLINE INDUSTRIES, INC.",Monroeville,134
Closing *,10/5/2004,1/1/2005,BERWICK OFFRAY,Anniston,89
Closing *,10/2/2004,12/4/2004,DOZIER MANUFACTURING,Dozier,130
Closing *,8/20/2004,10/18/2004,WEST TELEMARKETING CORPORATION,Huntsville,1081
Closing *,8/20/2004,9/30/2004,"THE BRIDGE, INC. (HANDS HOME)",Decatur,11
Closing *,7/28/2004,10/22/2004,AMERISOURCEBERGEN,Montgomery,60
Closing *,4/28/2004,9/30/2004,"REGIONS FINANCIAL CORP., MORTGAGE DEPT.",Montgomery,341
Layoff *,7/19/2004,9/16/2004,WAL-MART CHECK COLLECTION CENTER,Tuscaloosa,87
Closing *,7/9/2004,9/7/2004,WEST CORPORATION,Dothan,200
Closing *,7/7/2004,9/30/2004,UNION PLANTERS BANK,Montgomery,74
Closing *,6/30/2004,6/30/2004,EMPIRE COKE COMPANY,Holt,141
Closing *,6/25/2004,6/29/2004,"USA HEALTHCARE, INC.",Cullman,700
Closing *,5/19/2004,7/17/2004,ROYAL HARVEST FOODS,Marion,95
Closing *,4/27/2004,5/7/2004,WEHADKEE YARN MILLS-ROCK MILLS DIVISION,Roanoke,45
Closing *,4/8/2004,10/15/2004,"DESIGNER CHECKS, INC.",Anniston,182
Closing *,4/1/2004,6/1/2004,MONESSEN HEARTH SYSTEMS,Athens,63
Layoff *,3/29/2004,5/28/2004,M&H VALVE COMPANY,Anniston,64
Layoff *,3/19/2004,5/17/2004,DELPHI PACKARD,Gadsden,118
Closing *,3/1/2004,4/30/2004,"USA HEALTHCARE, LLC",Cullman,700
Closing *,2/20/2004,4/30/2004,VERIZON WIRELESS,Dothan,50
Closing *,2/17/2004,4/30/2004,WERNER COMPANY,Anniston,530
Closing *,2/5/2004,12/2/2004,"JIM WALTER RESOURCES, INC.",Brookwood,320
Closing *,1/16/2004,3/15/2004,ADVANCE AUTO PARTS DISTRIBUTION CENTER,Gadsden,140
Closing *,1/13/2004,2/23/2004,AAA PLUMBING POTTERY CO.,Attalla,226
Closing *,1/9/2004,7/16/2004,WESTPOINT STEVENS (FAIRFAX GREIGE PLANT),Valley,300
Closing *,11/4/2004,3/15/2005,BREDERO SHAW,Theodore,220
Closing *,10/1/2004,12/3/2004,AMERISOURCE BERGEN CORPORATION,Mobile,46
Closing *,2/20/2004,3/31/2004,"SYNGENTA CROP PROTECTION, INC.",Bucks,160
Closing *,11/24/2004,11/1/2004,WACHOVIA CORPORATION,Birmingham,1714
Closing *,9/30/2004,11/12/2004,"CENTRAL LAUNDRY SERVICES (SODEXHO, INC.)",Birmingham,63
Layoff *,9/8/2004,12/6/2004,ELECTRONIC DATA SYSTEMS,Birmingham,24
Closing *,7/30/2004,8/8/2004,WILLIAMS BRIDGE COMPANY,Bessemer,39
Closing *,7/2/2004,9/2/2004,HEALTHSOUTH METRO WEST HOSPITAL,Fairfield,506
Closing *,10/14/2003,12/5/2003,TENET PATIENT FINANCIAL SERVICES-BROOKWOOD MEDICAL,Birmingham,50
Closing *,9/12/2003,11/10/2003,DAYTON SUPERIOR MANUFACTURING,Birmingham,150
Closing *,9/8/2003,11/3/2003,"CONSTAR, INC.",Birmingham,48
Closing *,9/3/2003,11/2/2003,"GOLD KIST, INC.",Trussville,490
Closing *,5/12/2003,7/8/2003,COPPERWELD (AKA LTV COPPERWELD),Birmingham,54
Closing *,3/28/2003,6/2/2003,OVATIONS (A UNITEDHEALTH GROUP COMPANY),Birmingham,74
Closing *,1/31/2003,4/1/2003,BAKE-LINE GROUP,Birmingham,139
Closing *,1/16/2003,3/17/2003,CLARKE AMERICAN,Birmingham,71
Closing *,9/29/2003,11/30/2003,DYNCORP TECHNICAL SERVICES,Daleville,3157
Closing *,10/7/2003,12/5/2003,"GOODYEAR DUNLOP TIRE NA, LTD.",Huntsville,1160
Closing *,9/12/2003,9/26/2003,SARA LEE BAKERY GROUP,Fort Payne,800
Closing *,9/15/2003,11/11/2003,"DANA CORP., SPICER TRAILER PRODUCTS",Montgomery,98
Closing *,8/26/2003,9/30/2003,BECHTEL POWER CORPORATION,Decatur,686
Closing *,8/1/2003,9/29/2003,CROWNTUFT,Heflin,53
Closing *,7/30/2003,7/31/2003,PILLOWTEX CORPORATION,Phenix City,216
Closing *,7/30/2003,7/30/2003,"PILLOWTEX, INC.",Scottsboro,265
Closing *,7/22/2003,9/21/2003,"BEMIS COMPANY, INC.",Prattville,85
Layoff *,6/27/2003,9/1/2003,WESTPOINT STEVENS,Greenville,65
Closing *,6/19/2003,8/29/2003,UAW/DAIMLER CHRYSLER CHILD DEVELOPMENT,Huntsville,56
Closing *,12/18/2003,2/16/2004,"DILLARD'S INC., MONTGOMERY MALL",Montgomery,165
Layoff *,12/17/2003,12/31/2003,"NEW TECHNOLOGY, INC.",Huntsville,94
