Closing or Layoff,Initial Report Date,Planned Starting Date,Company,City,Planned # Affected Employees
Closing *,1/5/2016,1/5/2016,"JESSE CREEK MINING, LLC",Alabaster,170
Closing *,1/15/2016,2/10/2016,SOUTHEASTERN GROCERS,,63
Layoff *,8/19/2016,10/19/2016,BAE SYSTEMS,Mobile,200
Layoff *,6/27/2016,7/29/2016,"TALASCEND SL, LLC.",Mobile,150
Closing *,11/14/2016,1/22/2017,ADVANCE CENTRAL SERVICES - SOUTHEAST,Birmingham,89
Layoff *,6/2/2016,8/1/2016,AMSTED RAIL CO.,Bessemer,155
Layoff *,6/10/2016,8/5/2016,INFINITY INSURANCE COMPANY,Birmingham,96
Closing *,5/6/2016,7/5/2016,GREDE CASTING INTEGRITY,Bessemer,177
Closing *,3/4/2016,2/28/2016,ATHEROTECH DIAGNOSTIC LAB,Homewood,300
Closing *,1/19/2016,4/15/2016,WALMART - STORE #763,Fairfield,264
Closing *,8/5/2015,10/10/2015,NORTH AMERICAN COAL CORPORATION,Jasper,118
Layoff *,7/31/2015,9/30/2015,WALTER ENERGY/JIM WALTER RESOURCES - MINE #4,Brookwood,545
Closing *,7/28/2015,9/25/2015,"CROWN, COLUMN & MILLWORK COMPANY, LLC.",Attalla,90
Layoff *,6/8/2015,8/2/2015,"SHAW INDUSTRIES GROUP, INC. (PLANT 14)",Valley Head,160
Closing *,3/23/2015,4/20/2015,"T W FITTING N.A., LLC",Vance,58
Layoff *,3/13/2015,3/13/2015,"WALTER ENERGY, INC./JIM WALTER RESOURCES-MINE #7",Brookwood,196
Closing *,2/4/2015,3/13/2015,EARTHLINK,Arab,42
Layoff *,1/23/2015,3/20/2015,JMC STEEL GROUP - ENERGEX,Thomasville,260
Closing *,1/19/2015,3/23/2015,KENNAMETAL,Grant,93
Layoff *,1/14/2015,3/31/2015,EARTHLINK,Anniston,68
Closing *,1/7/2015,3/7/2015,CINRAM GROUP (FORMERLY JVC),Tuscaloosa,100
Closing *,11/6/2015,2/1/2016,GLOBE METALLURGICAL,Selma,90
Layoff *,12/7/2015,1/31/2016,DYNETICS TECHNICAL SERVICES,Marshall Center,339
Layoff *,12/7/2015,2/21/2016,FRAS-LE NORTH AMERICA,Prattville,50
Closing *,12/7/2015,12/16/2015,AAR AEROSTRUCTURES & INTERIORS,Huntsville,72
Layoff *,10/18/2015,12/18/2015,FAURECIA INTERIOR SYSTEMS - TUSCALOOSA PLANT,Tuscaloosa,138
Closing *,10/13/2015,10/7/2015,LISTERHILL TMC,Muscle Shoals,134
Layoff *,12/29/2015,2/27/2016,ABM HEALTHCARE SUPPORT SERVICES,,90
Closing *,1/29/2015,3/31/2015,NCO FINANCIAL SYSTEMS,Mobile,57
Closing *,7/24/2015,9/27/2015,SEARS HOLDINGS CORPORATION,Mobile,86
Closing *,2/2/2015,3/31/2015,"TRANSWORLD SYSTEMS, INC. (TSI)",Mobile,57
Closing *,12/14/2015,1/2/2016,O'NEAL STEEL MANUFACTURING SERVICES,Birmingham,180
Layoff *,12/9/2015,12/28/2015,REXAM,Birmingham,13
Closing *,12/7/2015,12/7/2015,GOLDEN LIVINGCENTER - TRUSSVILLE,Trussville,119
Layoff *,10/29/2015,10/28/2015,CLIFFS NATURAL RESOURCES INC. - OAK GROVE RESOURC,Hueytown,221
Layoff *,6/23/2015,10/1/2015,GREEN TREE SERVICING LLC,Birmingham,31
Layoff *,3/30/2015,4/29/2015,"CAHABA GOVERNMENT BENEFIT ADMINISTRATORS, LLC.",Birmingham,131
Layoff *,3/13/2015,5/15/2015,FLEX N GATE,McCalla,97
Layoff *,2/3/2015,4/3/2015,"FAIRFIELD SOUTHERN COMPANY, INC.",Fairfield,85
Layoff *,1/28/2015,3/29/2015,U. S. STEEL,Fairfield,1923
Layoff *,12/8/2014,12/16/2014,HEXPOL - ROBBINS LLC.,Muscle Shoals,61
Closing *,12/8/2014,12/10/2014,"JOHNSTON TEXTILES, INC.",Phenix City,140
Layoff *,11/4/2014,11/30/2014,KBR (CONTRACTOR AT BP CHEMICAL PLANT),Decatur,131
Closing *,10/14/2014,12/19/2014,ALERIS - NICHOLS ALUMINUM ALABAMA LLC,Decatur,100
Closing *,7/31/2014,10/1/2014,IZZY+,Florence,204
Layoff *,5/20/2014,5/16/2014,HEWLETT-PACKARD COMPANY,Montgomery,99
Closing *,5/14/2014,8/18/2014,THE HON COMPANY,Florence,188
Closing *,4/8/2014,6/6/2014,HILLSHIRE BRANDS,Florence,1100
Layoff *,4/2/2014,6/8/2014,"WAYNE FARMS, LLC",Dothan,560
Layoff *,3/17/2014,5/4/2014,"TYONEK SERVICES GROUP, INC.",Madison,161
Layoff *,3/5/2014,6/26/2014,"NAVISTAR DIESEL OF AL, LLC",Huntsville,220
Layoff *,4/17/2014,6/24/2014,BBVA COMPASS,Birmingham,90
Closing *,9/3/2014,10/31/2014,MACLEAN POWER SYSTEMS,Birmingham,75
Layoff *,8/13/2014,10/15/2014,LABCORP,Birmingham,57
Closing *,8/4/2014,9/30/2014,HARSCO METALS & MINERALS,Birmingham,51
Closing *,5/28/2014,8/1/2014,ATHENAHEALTH,Birmingham,63
Closing *,11/26/2013,1/24/2014,PILGRIM'S PRIDE,Boaz,1154
Layoff *,11/4/2013,11/30/2013,KBR,Selma,73
Layoff *,10/22/2013,12/6/2013,ALABAMA PAIN CENTER,Huntsville,80
Closing *,10/1/2013,12/18/2013,JC'S 5 STAR OUTLET,Decatur,41
