Date of Notice,Company Name,Location,Affected Workers
8/10/2011,Honeywell (FRAM Group),Clearfield,77
7/12/2011,"Penco Products, Inc.",West Jordan,70
7/11/2011,Wells Fargo & Co.,Salt Lake City,51
7/5/2011,Air Terminal Gifts,Salt Lake City,15
3/25/2011,Passages to Recovery,Loa,25
3/25/2011,Aspen Ranch,Loa,113
3/25/2011,Aspen Achievement Academy,Loa,55
3/25/2011,Youth Care of Utah,Draper,122
3/25/2011,SunHawk Academy of Utah,St. George,75
2/23/2011,Air Terminal Gifts,Salt Lake City,149
1/11/2011,Kmart Corporation,Kearns,72
11/30/2010,ZipLocal,Orem,85
11/29/2010,ZipRealty,Cottonwoods Heights,74
11/15/2010,Comcast,Sandy,321
10/25/2010,Principal Financial Group,Salt Lake City,82
10/1/2010,Consol Energy (Consolidation Coal Company; Emery Mine),Emery,171
09/31/10,Deseret News Publishing Co.,Salt Lake City,85
8/30/2010,FIS Management Services,Salt Lake City,31
7/19/2010,American Distribution Centers,Salt Lake City,39
6/18/2010,Flying J Inc.,Ogden,141
5/3/2010,Fidelity National Information Services (FIS),West Valley City,102
4/29/2010,"UPS Freight, Inc.",North Salt Lake,50
2/17/2010,Mosaic,"Nephi, Provo/Orem",94
2/17/2010,Provo Craft & Novelty Inc.,Spanish Fork,109
1/27/2010,CompuCredit,Salt Lake City,162
1/25/2010,Dollar Tree,Salt Lake City,98
11/10/2009,Enterprise Rent-A-Car,Salt Lake City,71
9/22/2009,Moog Aircraft,West Valley City,201
8/31/2009,Convergys,Taylorsville,300
8/13/2009,Teleperformance USA,Clearfield,151
7/21/2009,TW & Company,Clearfield (HAFB),100
7/13/2009,Advanta Corporation,Draper,31
6/30/2009,RR Donnelley,Spanish Fork,120
6/30/2009,"Holland & Hart, RxAmerica",Salt Lake City,200
6/16/2009,Beneficial Life Insurance,Salt Lake City,150
6/14/2009,First Transit,Logan,100
5/28/2009,Schlumberger,Vernal,22
5/28/2009,Weather Shield Premium,Logan,95
,Windows & Doors,,
5/6/2009,Teleperformance USA,Clearfield,189
May-09,Spring Air,Salt Lake City,53
3/26/2009,Schlumberger,Vernal,28
3/6/2009,"Holland & Hart, RxAmerica",Salt Lake City,43
3/2/2009,Western Quality Foods,Cedar City,95
2/2/2009,Move Networks,American Fork,57
1/16/2009,Rio Tinto,Salt Lake City,66
01/07//09,Lozier Corporation,Cedar City,82
