Date Received,Company Name,City,Layoff Date,# Affected
6/17/2020,WordStream,Boston,8/17/20,61
6/17/2020,"Merritt Hospitality, LLC (Embassy Suites Boston/Waltham)",Waltham,6/10/20,77
6/19/2020,The Hertz Corporation,Boston,8/17/20,180
6/19/2020,Marriot International Shared Services ,Medford,4/4/20,121
6/24/2020,Levy Premium Foodservice Limited Partnership (John B Hynes Veteran Memorial Convention Center),Boston,8/1/20,153
7/15/2019,"A. Schulman, Inc.",Worcester,12/31/19,68
9/12/2019,"Urban Mobility Now, LLC (Amazon Fulfillment Station)",Milford,10/9/19,201 total (three locations)
1/24/2020,ITW Air Flow Management,Westminster,3/24/20 - 6/24/20,11
1/31/2020,Aramark Management Services Limited Partnership,Auburn,3/30/20,64
3/19/2020,"D'Ambrosio Eye Care, Inc.","Acton, Gardner, Athol, Leominster, Worcester",3/17/20,80
4/1/2020,North American Dental Group,Worcester,3/23/20,16
4/18/2020,"The Maines Paper & Food Service, Inc.",Worcester,4/18/20,39
4/21/2020,Friendly's Restaurant,"Sturbridge, Webster & Worcester",3/30/20,74
4/27/2020,"OS Restaurant Services, LLC",Auburn & Leominster,3/15/20 -4/27/20,133
7/1/2019,ImmunoGen,Waltham,8/26/19,222
11/14/2019,"Cerner Corporation (""Cerner"")",Waltham,1/14/20,3
11/14/2019,Verizon Connect,Waltham,12/27/19 - 01/10/20,49
3/25/2020,HMS Host ,Framingham,3/20/20 - 4/1/20,42
3/27/2020,Sheraton Framingham Hotel & Conference Center,Framingham,3/19/20,113
3/27/2020,Electronic Recyclers,Holliston,3/27/20,68
3/27/2020,A&M LLC,Natick,3/18/20,76
3/28/2020,Paper Source,"Chestnut Hill, Dedham & Wellesley ",3/29/20,25
3/30/2020,Potpourri Group Inc.,Littleton,3/30/2020,80
4/1/2020,Hotel Indigo,Newton,4/1/20,64
4/1/2020,Panera Bread,Plainville,3/16/2020,51
4/22/2020,Atrius Health,Concord,4/19/20,32
4/27/2020,"OS Restaurant Services, LLC",Bellingham,3/15/20 - 4/27/20,64
5/1/2020,Care.com,Waltham,7/1/20,38
6/10/2020,"AMAG Pharmaceuticals, Inc.",Waltham,5/11/20,35
6/24/2020,"Auto Dealers Exchange of Concord, LLC and Automotive Finance Corporation",Framingham,8/1/20,161
9/30/2019,Sisters of the Presentation of Mary,Methuen,11/23/19 - 12/31/19,T/B/C
12/10/2019,GLSS Transportation ,Lynn (2 locations),2/1/20,T/B/D
3/4/2020,"Philips North America LLC (""Philips"")",Andover,5/4/20,20
