WARN#,Company Name,Location,Layoff Date,Laid Off,Layoff Type,Received Date
2048,Ambassadors Programs Inc.,"Spokane, WA",4/27/2015,1,Large Layoff - 10 or more workers,2/25/2015
2039,Safeway Inc.,Clackamas,3/31/2015,91,Permanent closure,1/29/2015
2005,Welch Allyn,Beaverton,3/27/2015,9,Large Layoff - 10 or more workers,4/1/2014
2037,Cover Oregon,Durham,3/10/2015,62,Large Layoff - 10 or more workers,1/8/2015
2005,Welch Allyn,Beaverton,1/31/2015,14,Large Layoff - 10 or more workers,4/1/2014
2013,Commercial Vehicle Group Inc.,Tigard,1/26/2015,117,Permanent closure,5/9/2014
2025,Lloyd Center Nordstrom,Portland,1/10/2015,172,Permanent closure,10/29/2014
2024,Ringside Steakhouse,Portland,1/1/2015,57,Small Layoff  1 – 10 workers,10/28/2014
2005,Welch Allyn,Beaverton,12/19/2014,45,Large Layoff - 10 or more workers,4/1/2014
2026,Woodgrain Millwork,Prineville,11/25/2014,133,Large Layoff - 10 or more workers,11/28/2014
2022,Umatilla Chemical Agent-URS,Hermiston,10/9/2014,26,Permanent closure,8/8/2014
2018,BFN Operations LLC,Cornelius,9/30/2014,100,Permanent closure,6/30/2014
2005,Welch Allyn,Beaverton,9/26/2014,1,Large Layoff - 10 or more workers,4/1/2014
2017,Kmart Corporation,Albany,9/14/2014,64,Permanent closure,6/12/2014
2020,Elks Rehab System,Ontario,7/31/2014,5,Temporary Layoff,7/31/2014
2005,Welch Allyn,Beaverton,7/27/2014,1,Large Layoff - 10 or more workers,4/1/2014
2015,"LAIKA, LLC",Hillsboro,7/19/2014,76,Permanent closure,5/19/2014
2014,URS-Umatilla Chemical Agent Disposal,Hermiston,7/17/2014,25,Large Layoff - 10 or more workers,5/14/2014
2005,Welch Allyn,Beaverton,6/27/2014,1,Large Layoff - 10 or more workers,4/1/2014
2003,CenturyLink Customer Contact Sales & Se,Medford,6/6/2014,114,Permanent closure,3/19/2014
2005,Welch Allyn,Beaverton,5/30/2014,13,Large Layoff - 10 or more workers,4/1/2014
1995,Sierra Pines Ltd.,Springfield,4/4/2014,87,Permanent closure,2/5/2014
2000,West Linn Paper Co,West Linn,3/19/2014,41,Reduction,8/22/2014
1986,System Services of America Inc,Portland,2/2/2014,78,Permanent closure,11/6/2013
1993,Glenn Walters Nursery,Cornelius,1/17/2014,119,Large Layoff - 10 or more workers,1/17/2014
1970,SolarWorld,Hillsboro,1/14/2014,1,Reduction,7/2/2013
1979,Wells Fargo Home Mortgage Retail Retail,Portland,12/22/2013,92,Large Layoff - 10 or more workers,10/23/2013
1962,SANYO Solare of Oregon LLC,Salem,12/20/2013,50,Permanent closure,4/25/2013
1977,American Bridge Manufacturing Company,"Coraopolis, PA",12/9/2013,51,Permanent closure,10/8/2013
1976,CapitalOne,Portland,12/7/2013,66,Large Layoff - 10 or more workers,9/12/2013
1975,Dutchmen,Clackamas,11/15/2013,163,Permanent closure,9/10/2013
1985,Evergreen International Airlines Inc.,Mcminnville,11/7/2013,131,Large Layoff - 10 or more workers,11/7/2013
1971,Kaiser Permanente,Portland,10/31/2013,111,Permanent closure,7/19/2013
1974,URS-UMCDF,Hermiston,10/24/2013,4,Large Layoff - 10 or more workers,8/22/2013
1981,Bank of America,Hillsboro,10/23/2013,59,Large Layoff - 10 or more workers,10/25/2013
1973,Blount International,Portland,10/22/2013,198,Large Layoff - 10 or more workers,8/9/2013
1969,Lloyd Center,Portland,8/17/2013,49,Large Layoff - 10 or more workers,6/18/2013
1967,Ricoh,Portland,7/31/2013,70,Large Layoff - 10 or more workers,5/31/2013
1972,"Cambia Health Solutions, Inc.",Portland,7/29/2013,22,Reduction,7/25/2013
1966,CenturyLink,Hood River,7/19/2013,51,Large Layoff - 10 or more workers,5/13/2013
1970,SolarWorld,Hillsboro,7/7/2013,100,Reduction,7/2/2013
1964,Xerox Business Services,"Lewisville, TX",7/7/2013,285,Permanent closure,5/1/2013
1963,AEG Facilities,"Los Angeles, CA",6/30/2013,900,Permanent closure,4/29/2013
1965,Ovations,"Lutz, FL",6/30/2013,539,Large Layoff - 10 or more workers,4/30/2013
1955,Umatilla Chemical Agent Disp. Facility,Hermiston,6/20/2013,117,Permanent closure,3/1/2013
1960,URS-Umatilla Chemical Depo,Hermiston,6/20/2013,136,Permanent closure,4/13/2013
1958,Solopower,Portland,6/17/2013,29,Permanent closure,4/17/2013
1959,FOSS Maritime Company,Portland,6/11/2013,60,Permanent closure,4/11/2013
1968,Zynga,Eugene,6/3/2013,8,Reduction,6/3/2013
1956,URS-Umatilla Chemical Agent Disposal,Hermiston,5/9/2013,5,Permanent closure,3/7/2013
1961,Rough & Ready Lumber LLC,Cave Junction,5/1/2013,88,Permanent closure,4/23/2013
1951,Kathy Nicholl,Beaverton,4/26/2013,174,Permanent closure,2/15/2013
1944,Sealy Mattress Company,Portland,3/31/2013,9,Permanent closure,1/4/2013
1948,American InterContinental Univ. Online,Beaverton,3/23/2013,124,Permanent closure,1/21/2013
1949,Pepsi Beverages Company,Salem,3/23/2013,66,Permanent closure,1/22/2013
1947,K Mart,Milwaukie,3/16/2013,61,Permanent closure,1/15/2013
1946,American Suzuki Motor Corporation,,3/14/2013,2,Permanent closure,1/11/2013
1945,Umatilla Chemical Agent Disposal Facili,Hermistion,3/7/2013,11,Permanent closure,1/2/2013
1944,Sealy Mattress Company,Portland,3/4/2013,106,Permanent closure,1/4/2013
1942,TriWest Healthcare Alliance Corp.,,2/15/2013,7,Reduction,12/10/2012
1943,Umatilla Chemical Agent Disposal Facili,Hermiston,2/14/2013,178,Permanent closure,12/11/2012
1936,Capitol One,Portand,1/2/2013,217,Reduction,9/25/2012
1937,"Boise White Paper, LLC",St. Helens,12/31/2012,106,Permanent closure,10/16/2012
1935,Conservation Services Group,Portland,12/16/2012,97,Large Layoff - 10 or more workers,9/24/2012
1934,Warm Springs Forest Product Industries,Warm Springs,11/16/2012,93,Large Layoff - 10 or more workers,9/17/2012
1914,"Monaco RV, LLC",Coburg,11/15/2012,1,Permanent closure,10/30/2012
1933,"Washington Demilitarization Co., (URS)",Hermiston,11/8/2012,34,Permanent closure,9/7/2012
1914,"Monaco RV, LLC",Coburg,10/31/2012,2,Permanent closure,10/30/2012
1931,"America's Body Company, LLC",Portland,9/10/2012,46,Permanent closure,7/9/2012
1922,Capital One Services,Portland,9/1/2012,79,Permanent closure,5/2/2012
1923,"Hostess Brands, Inc.",Baker City,7/4/2012,1,Permanent closure,5/4/2012
1919,Siltronic Corporation,Portland,7/1/2012,350,Permanent closure,3/21/2012
1921,Lumber Products,Tualatin,6/29/2012,65,Permanent closure,5/1/2012
1920,"AT&T Mobility Services, LLC","Duluth, MN",6/29/2012,86,Permanent closure,4/27/2012
1918,T-Mobile,Redmond,6/22/2012,359,Permanent closure,3/22/2012
1930,Salem Hospital,Salem,6/15/2012,52,Permanent closure,6/15/2012
1929,Umatilla Chemical Agent Disposal Facili,Hermiston,6/6/2012,1,Permanent closure,5/31/2012
1917,Symantec Corporation,Beaverton,5/5/2012,55,Reduction,3/5/2012
1914,"Monaco RV, LLC",Coburg,4/13/2012,72,Permanent closure,10/30/2012
1913,Umatilla Chemical Agent Disposal Facili,Hermiston,4/12/2012,17,Permanent closure,1/12/2012
1916,"Schneider Logistics, Inc. (SLI)",Beaverton,3/31/2012,1,Permanent closure,2/1/2012
1914,"Monaco RV, LLC",Coburg,3/30/2012,24,Permanent closure,10/30/2012
1915,MASCO Bath,Klamath Falls,3/30/2012,50,Permanent closure,1/31/2012
1914,"Monaco RV, LLC",Coburg,3/16/2012,3,Permanent closure,10/30/2012
1910,"CFRI-HWKD Maple Grove, LLC",Monmouth,12/31/2011,120,Permanent closure,10/19/2011
1912,"MEMC Electronic Materials, Inc.",Portland,12/7/2011,85,Large Layoff - 10 or more workers,12/7/2011
1912,"MEMC Electronic Materials, Inc.",Portland,10/26/2011,9,Large Layoff - 10 or more workers,12/7/2011
1909,"Pace American Enterprises, Inc.",Lebanon,9/20/2011,35,Large Layoff - 10 or more workers,9/13/2011
1908,Nationwide Sales Solutions,Portland,9/12/2011,90,Permanent closure,7/13/2011
1906,Insight Schools,Portland,7/18/2011,58,Permanent closure,5/18/2011
1907,"Musician's Friend, Inc.",Medford,7/14/2011,160,Permanent closure,7/12/2011
1871,"Haggen, Murray Hill Store",Beaverton,4/27/2011,72,Permanent closure,2/22/2011
1866,Hines Nurseries,Forest Grove,3/8/2011,56,Reduction,10/6/2010
1872,Blue Heron Paper Company,Oregon City,2/28/2011,181,Permanent closure,2/22/2011
1869,"Liberty Homes, Inc",Sheridan,2/1/2011,83,Permanent closure,12/1/2010
1867,"bioMerieux, Inc.",Wilsonville,12/31/2010,80,Permanent closure,12/1/2010
1870,"Silver Eagle Manufacturig Company, Inc.",Portland,12/17/2010,55,Reduction,10/15/2010
1868,Zip Realty,Tigard,12/10/2010,51,Permanent closure,11/29/2010
1866,Hines Nurseries,Forest Grove,12/6/2010,96,Reduction,10/6/2010
1865,Wealthbridge Mortgage,Beaverton,9/24/2010,109,Permanent closure,9/23/2010
1862,Gladstone Honda & Gladstone Nissan,Gladstone,9/15/2010,94,Permanent closure,7/28/2010
1863,Alcan Cable,Roseburg,8/6/2010,32,Permanent closure,8/3/2010
0581,SILVER EAGLE COMPANY,PORTLAND,3/16/2000,450,Permanent closure,10/14/2010
1938,Fashion Tech Window Coverings,Portland,,,Permanent closure,10/26/2012
6991,The Coca-Cola Company ,"Atlanta, GA",,,Permanent closure,6/30/2020
1911,"Integrated Device Technology, Inc. (IDT",Hillsboro,,,Permanent closure,11/18/2011
6692,Happy Guests Intl. - Salty's,Portland,,,Temporary Layoff,5/14/2020
,,,,,,
