Company Name,Layoff Total,Workforce Local Area,WARN Date,Reason for Layoff,Occupations,Layoff Date(s)
Moneygram Payment Systems Inc. (MPSI),1,Jefferson County,4/30/2015,Closure,,
Zenith Education Group,152,Adams County,4/29/2015,Downsize,,
Ambassadors Group,1,Denver,4/27/2015,Downsize,,
Linn Energy,52,Denver,4/15/2015,Closure,,
Capstone Logistics,69,Denver,4/3/2015,Downsize,,
Moneygram Payment Systems Inc. (MPSI),1,Jefferson County,4/1/2015,Closure,,
Moneygram Payment Systems Inc. (MPSI),4,Jefferson County,3/30/2015,Closure,,
MMC,64,Glendale,3/25/2015,Closure,,
Albertsons #8584,78,Pikes Peak/Teller,3/24/2015,Closure,,
Sinton Dairy Foods Company/ Borden,122,Pikes Peak/Teller,3/16/2015,Closure,,
WPX Energy,142,Denver,3/2/2015,Closure,,
Trulia,33,Denver,2/17/2015,Other,,
Staples,59,Arapahoe/Douglas,2/10/2015,Closure,,
Corinthian Colleges Inc./Everest College,214,Pikes Peak/Teller,1/30/2015,Closure,,
Moneygram Payment Systems Inc. (MPSI),7,Jefferson County,1/27/2015,Closure,,
Serco-NA,69,Pikes Peak/Teller,1/21/2015,Downsize,,
Frontier Airlines Inc.,1152,Denver,1/16/2015,Closure,,
K-Mart-Sears Distribution Center,103,Adams County,1/6/2015,Closure,,
Moneygram Payment Systems Inc. (MPSI),4,Jefferson County,1/6/2015,Closure,,
Iqor Inc.,251,Pueblo,1/2/2015,Downsize,,
