Date,iso3,CountryName,Region,lat,lon,CumulativePositive,CumulativeDeceased,CumulativeRecovered,CurrentlyPositive,Hospitalized,IntensiveCare,EUcountry,EUCPMcountry,NUTS
2/28/20,ITA,Italy,Lazio,41.981132,12.767224,3,0,3,0,0,0,TRUE,TRUE,ITI4
2/28/20,ITA,Italy,Liguria,44.144781,8.140492,19,0,0,19,9,0,TRUE,TRUE,ITC3
2/28/20,ITA,Italy,Lombardia,45.622479,9.770824,531,17,40,474,282,47,TRUE,TRUE,ITC4
2/28/20,ITA,Italy,Marche,43.366624,13.106678,6,0,0,6,5,2,TRUE,TRUE,ITI3
2/28/20,ITA,Italy,Piemonte,45.060965,7.926836,11,0,0,11,7,0,TRUE,TRUE,ITC1
2/28/20,ITA,Italy,Puglia,40.984631,16.620464,3,0,0,3,1,0,TRUE,TRUE,ITF4
2/28/20,ITA,Italy,Sicilia,37.587635,14.155497,4,0,2,2,1,0,TRUE,TRUE,ITG1
2/28/20,ITA,Italy,Toscana,43.459993,11.136697,8,0,1,7,5,0,TRUE,TRUE,ITI1
2/28/20,ITA,Italy,Veneto,45.664735,11.84235,151,2,0,149,33,9,TRUE,TRUE,ITH3
2/29/20,ITA,Italy,Abruzzo,42.228034,13.855137,2,0,0,2,2,0,TRUE,TRUE,ITF1
2/29/20,ITA,Italy,Bolzano,46.697344,11.417082,1,0,0,1,1,0,TRUE,TRUE,ITH1
2/29/20,ITA,Italy,Calabria,39.225585,16.418474,1,0,0,1,0,0,TRUE,TRUE,ITF6
2/29/20,ITA,Italy,Campania,41.059945,14.785097,13,0,0,13,3,0,TRUE,TRUE,ITF3
2/29/20,ITA,Italy,Emilia-Romagna,44.536563,11.019909,217,4,0,213,97,11,TRUE,TRUE,ITH5
2/29/20,ITA,Italy,Lazio,41.981132,12.767224,6,0,3,3,3,0,TRUE,TRUE,ITI4
2/29/20,ITA,Italy,Liguria,44.144781,8.140492,42,0,4,38,5,1,TRUE,TRUE,ITC3
2/29/20,ITA,Italy,Lombardia,45.622479,9.770824,615,23,40,552,336,80,TRUE,TRUE,ITC4
2/29/20,ITA,Italy,Marche,43.366624,13.106678,11,0,0,11,8,2,TRUE,TRUE,ITI3
2/29/20,ITA,Italy,Piemonte,45.060965,7.926836,11,0,0,11,7,0,TRUE,TRUE,ITC1
2/29/20,ITA,Italy,Puglia,40.984631,16.620464,3,0,0,3,1,0,TRUE,TRUE,ITF4
2/29/20,ITA,Italy,Sicilia,37.587635,14.155497,4,0,2,2,1,0,TRUE,TRUE,ITG1
2/29/20,ITA,Italy,Toscana,43.459993,11.136697,11,0,1,10,7,0,TRUE,TRUE,ITI1
2/29/20,ITA,Italy,Veneto,45.664735,11.84235,191,2,0,189,35,11,TRUE,TRUE,ITH3
3/1/20,ITA,Italy,Abruzzo,42.228034,13.855137,5,0,0,5,3,0,TRUE,TRUE,ITF1
3/1/20,ITA,Italy,Bolzano,46.697344,11.417082,1,0,0,1,1,0,TRUE,TRUE,ITH1
3/1/20,ITA,Italy,Calabria,39.225585,16.418474,1,0,0,1,0,0,TRUE,TRUE,ITF6
3/1/20,ITA,Italy,Campania,41.059945,14.785097,17,0,0,17,4,0,TRUE,TRUE,ITF3
3/1/20,ITA,Italy,Emilia-Romagna,44.536563,11.019909,285,8,0,277,140,13,TRUE,TRUE,ITH5
3/1/20,ITA,Italy,Friuli Venezia Giulia,46.155667,13.058636,6,0,0,6,0,0,TRUE,TRUE,ITH4
3/1/20,ITA,Italy,Lazio,41.981132,12.767224,6,0,3,3,3,0,TRUE,TRUE,ITI4
3/1/20,ITA,Italy,Liguria,44.144781,8.140492,25,0,4,21,13,1,TRUE,TRUE,ITC3
3/1/20,ITA,Italy,Lombardia,45.622479,9.770824,984,24,73,887,512,106,TRUE,TRUE,ITC4
3/1/20,ITA,Italy,Marche,43.366624,13.106678,25,0,0,25,17,5,TRUE,TRUE,ITI3
3/1/20,ITA,Italy,Piemonte,45.060965,7.926836,49,0,0,49,13,2,TRUE,TRUE,ITC1
3/1/20,ITA,Italy,Puglia,40.984631,16.620464,3,0,0,3,1,0,TRUE,TRUE,ITF4
3/1/20,ITA,Italy,Sicilia,37.587635,14.155497,9,0,2,7,1,0,TRUE,TRUE,ITG1
3/1/20,ITA,Italy,Toscana,43.459993,11.136697,13,0,1,12,7,0,TRUE,TRUE,ITI1
3/1/20,ITA,Italy,Umbria,42.966781,12.49094,2,0,0,2,0,0,TRUE,TRUE,ITI2
3/1/20,ITA,Italy,Veneto,45.664735,11.84235,263,2,0,261,64,13,TRUE,TRUE,ITH3
3/2/20,ITA,Italy,Abruzzo,42.228034,13.855137,5,0,0,5,3,0,TRUE,TRUE,ITF1
3/2/20,ITA,Italy,Bolzano,46.697344,11.417082,1,0,0,1,1,0,TRUE,TRUE,ITH1
3/2/20,ITA,Italy,Calabria,39.225585,16.418474,1,0,0,1,0,0,TRUE,TRUE,ITF6
3/2/20,ITA,Italy,Campania,41.059945,14.785097,17,0,0,17,4,0,TRUE,TRUE,ITF3
3/2/20,ITA,Italy,Emilia-Romagna,44.536563,11.019909,335,11,0,324,164,16,TRUE,TRUE,ITH5
3/2/20,ITA,Italy,Friuli Venezia Giulia,46.155667,13.058636,9,0,0,9,0,0,TRUE,TRUE,ITH4
3/2/20,ITA,Italy,Lazio,41.981132,12.767224,7,0,3,4,3,0,TRUE,TRUE,ITI4
3/2/20,ITA,Italy,Liguria,44.144781,8.140492,22,0,4,18,13,1,TRUE,TRUE,ITC3
3/2/20,ITA,Italy,Lombardia,45.622479,9.770824,1254,38,139,1077,605,127,TRUE,TRUE,ITC4
3/2/20,ITA,Italy,Marche,43.366624,13.106678,35,1,0,34,23,6,TRUE,TRUE,ITI3
3/2/20,ITA,Italy,Piemonte,45.060965,7.926836,51,0,0,51,14,2,TRUE,TRUE,ITC1
3/2/20,ITA,Italy,Puglia,40.984631,16.620464,4,0,0,4,2,0,TRUE,TRUE,ITF4
3/2/20,ITA,Italy,Sicilia,37.587635,14.155497,7,0,2,5,2,0,TRUE,TRUE,ITG1
3/2/20,ITA,Italy,Toscana,43.459993,11.136697,13,0,1,12,7,0,TRUE,TRUE,ITI1
3/2/20,ITA,Italy,Umbria,42.966781,12.49094,2,0,0,2,0,0,TRUE,TRUE,ITI2
3/2/20,ITA,Italy,Veneto,45.664735,11.84235,273,2,0,271,67,14,TRUE,TRUE,ITH3
3/3/20,ITA,Italy,Abruzzo,42.228034,13.855137,6,0,0,6,5,0,TRUE,TRUE,ITF1
3/3/20,ITA,Italy,Basilicata,40.500665,16.082246,1,0,0,1,0,0,TRUE,TRUE,ITF5
3/3/20,ITA,Italy,Bolzano,46.697344,11.417082,1,0,0,1,1,0,TRUE,TRUE,ITH1
3/3/20,ITA,Italy,Calabria,39.225585,16.418474,1,0,0,1,0,0,TRUE,TRUE,ITF6
3/3/20,ITA,Italy,Campania,41.059945,14.785097,30,0,0,30,11,0,TRUE,TRUE,ITF3
3/3/20,ITA,Italy,Emilia-Romagna,44.536563,11.019909,420,18,4,398,211,24,TRUE,TRUE,ITH5
3/3/20,ITA,Italy,Friuli Venezia Giulia,46.155667,13.058636,13,0,0,13,1,0,TRUE,TRUE,ITH4
3/3/20,ITA,Italy,Lazio,41.981132,12.767224,14,0,3,11,10,0,TRUE,TRUE,ITI4
3/3/20,ITA,Italy,Liguria,44.144781,8.140492,24,1,4,19,14,2,TRUE,TRUE,ITC3
3/3/20,ITA,Italy,Lombardia,45.622479,9.770824,1520,55,139,1326,865,167,TRUE,TRUE,ITC4
3/3/20,ITA,Italy,Marche,43.366624,13.106678,61,2,0,59,40,13,TRUE,TRUE,ITI3
3/3/20,ITA,Italy,Molise,41.597834,14.548702,3,0,0,3,3,0,TRUE,TRUE,ITF2
3/3/20,ITA,Italy,Piemonte,45.060965,7.926836,56,0,0,56,16,3,TRUE,TRUE,ITC1
3/3/20,ITA,Italy,Puglia,40.984631,16.620464,6,0,0,6,2,0,TRUE,TRUE,ITF4
3/3/20,ITA,Italy,Sardegna,40.090225,9.036223,1,0,0,1,1,0,TRUE,TRUE,ITG2
3/3/20,ITA,Italy,Sicilia,37.587635,14.155497,7,0,2,5,2,0,TRUE,TRUE,ITG1
3/3/20,ITA,Italy,Toscana,43.459993,11.136697,19,0,1,18,10,0,TRUE,TRUE,ITI1
3/3/20,ITA,Italy,Trento,46.139153,10.830791,4,0,0,4,1,0,TRUE,TRUE,ITH2
3/3/20,ITA,Italy,Umbria,42.966781,12.49094,8,0,0,8,2,1,TRUE,TRUE,ITI2
3/3/20,ITA,Italy,Veneto,45.664735,11.84235,307,3,7,297,68,19,TRUE,TRUE,ITH3
3/4/20,ITA,Italy,Abruzzo,42.228034,13.855137,7,0,0,7,7,0,TRUE,TRUE,ITF1
3/4/20,ITA,Italy,Basilicata,40.500665,16.082246,1,0,0,1,0,0,TRUE,TRUE,ITF5
3/4/20,ITA,Italy,Bolzano,46.697344,11.417082,1,0,0,1,1,0,TRUE,TRUE,ITH1
3/4/20,ITA,Italy,Calabria,39.225585,16.418474,1,0,0,1,0,0,TRUE,TRUE,ITF6
3/4/20,ITA,Italy,Campania,41.059945,14.785097,31,0,0,31,11,0,TRUE,TRUE,ITF3
3/4/20,ITA,Italy,Emilia-Romagna,44.536563,11.019909,544,22,6,516,282,26,TRUE,TRUE,ITH5
3/4/20,ITA,Italy,Friuli Venezia Giulia,46.155667,13.058636,18,0,0,18,3,0,TRUE,TRUE,ITH4
3/4/20,ITA,Italy,Lazio,41.981132,12.767224,30,0,3,27,18,3,TRUE,TRUE,ITI4
3/4/20,ITA,Italy,Liguria,44.144781,8.140492,26,1,4,21,13,3,TRUE,TRUE,ITC3
3/4/20,ITA,Italy,Lombardia,45.622479,9.770824,1820,73,250,1497,1086,209,TRUE,TRUE,ITC4
3/4/20,ITA,Italy,Marche,43.366624,13.106678,84,4,0,80,49,15,TRUE,TRUE,ITI3
3/4/20,ITA,Italy,Molise,41.597834,14.548702,3,0,0,3,3,0,TRUE,TRUE,ITF2
3/4/20,ITA,Italy,Piemonte,45.060965,7.926836,82,0,0,82,39,13,TRUE,TRUE,ITC1
3/4/20,ITA,Italy,Puglia,40.984631,16.620464,9,1,1,7,4,0,TRUE,TRUE,ITF4
3/4/20,ITA,Italy,Sardegna,40.090225,9.036223,2,0,0,2,1,0,TRUE,TRUE,ITG2
3/4/20,ITA,Italy,Sicilia,37.587635,14.155497,18,0,2,16,5,0,TRUE,TRUE,ITG1
3/4/20,ITA,Italy,Toscana,43.459993,11.136697,38,0,1,37,17,2,TRUE,TRUE,ITI1
3/4/20,ITA,Italy,Trento,46.139153,10.830791,5,0,0,5,1,0,TRUE,TRUE,ITH2
3/4/20,ITA,Italy,Umbria,42.966781,12.49094,9,0,0,9,2,1,TRUE,TRUE,ITI2
3/4/20,ITA,Italy,Veneto,45.664735,11.84235,360,6,9,345,99,23,TRUE,TRUE,ITH3
3/5/20,ITA,Italy,Abruzzo,42.228034,13.855137,8,0,0,8,8,0,TRUE,TRUE,ITF1
3/5/20,ITA,Italy,Basilicata,40.500665,16.082246,1,0,0,1,0,0,TRUE,TRUE,ITF5
3/5/20,ITA,Italy,Bolzano,46.697344,11.417082,1,0,0,1,1,0,TRUE,TRUE,ITH1
3/5/20,ITA,Italy,Calabria,39.225585,16.418474,2,0,0,2,1,0,TRUE,TRUE,ITF6
3/5/20,ITA,Italy,Campania,41.059945,14.785097,45,0,0,45,12,0,TRUE,TRUE,ITF3
3/5/20,ITA,Italy,Emilia-Romagna,44.536563,11.019909,698,30,10,658,359,32,TRUE,TRUE,ITH5
3/5/20,ITA,Italy,Friuli Venezia Giulia,46.155667,13.058636,21,0,0,21,4,0,TRUE,TRUE,ITH4
3/5/20,ITA,Italy,Lazio,41.981132,12.767224,44,0,3,41,27,7,TRUE,TRUE,ITI4
3/5/20,ITA,Italy,Liguria,44.144781,8.140492,28,3,4,21,14,3,TRUE,TRUE,ITC3
3/5/20,ITA,Italy,Lombardia,45.622479,9.770824,2251,98,376,1777,1413,244,TRUE,TRUE,ITC4
3/5/20,ITA,Italy,Marche,43.366624,13.106678,124,4,0,120,76,19,TRUE,TRUE,ITI3
3/5/20,ITA,Italy,Molise,41.597834,14.548702,7,0,0,7,4,0,TRUE,TRUE,ITF2
3/5/20,ITA,Italy,Piemonte,45.060965,7.926836,108,2,0,106,60,17,TRUE,TRUE,ITC1
3/5/20,ITA,Italy,Puglia,40.984631,16.620464,14,1,1,12,6,1,TRUE,TRUE,ITF4
3/5/20,ITA,Italy,Sardegna,40.090225,9.036223,2,0,0,2,2,0,TRUE,TRUE,ITG2
3/5/20,ITA,Italy,Sicilia,37.587635,14.155497,18,0,2,16,5,0,TRUE,TRUE,ITG1
3/5/20,ITA,Italy,Toscana,43.459993,11.136697,61,0,1,60,29,3,TRUE,TRUE,ITI1
3/5/20,ITA,Italy,Trento,46.139153,10.830791,7,0,0,7,2,0,TRUE,TRUE,ITH2
3/5/20,ITA,Italy,Umbria,42.966781,12.49094,9,0,0,9,2,1,TRUE,TRUE,ITI2
3/5/20,ITA,Italy,Valle d'Aosta,45.732414,7.393651,2,0,0,2,0,0,TRUE,TRUE,ITC2
3/5/20,ITA,Italy,Veneto,45.664735,11.84235,407,10,17,380,116,24,TRUE,TRUE,ITH3
3/6/20,ITA,Italy,Abruzzo,42.228034,13.855137,9,0,0,9,9,0,TRUE,TRUE,ITF1
3/6/20,ITA,Italy,Basilicata,40.500665,16.082246,3,0,0,3,1,0,TRUE,TRUE,ITF5
3/6/20,ITA,Italy,Bolzano,46.697344,11.417082,4,0,0,4,4,0,TRUE,TRUE,ITH1
3/6/20,ITA,Italy,Calabria,39.225585,16.418474,4,0,0,4,2,0,TRUE,TRUE,ITF6
3/6/20,ITA,Italy,Campania,41.059945,14.785097,57,0,0,57,12,0,TRUE,TRUE,ITF3
3/6/20,ITA,Italy,Emilia-Romagna,44.536563,11.019909,870,37,17,816,450,53,TRUE,TRUE,ITH5
3/6/20,ITA,Italy,Friuli Venezia Giulia,46.155667,13.058636,31,0,3,28,4,0,TRUE,TRUE,ITH4
3/6/20,ITA,Italy,Lazio,41.981132,12.767224,54,1,3,50,34,8,TRUE,TRUE,ITI4
3/6/20,ITA,Italy,Liguria,44.144781,8.140492,32,3,5,24,17,5,TRUE,TRUE,ITC3
3/6/20,ITA,Italy,Lombardia,45.622479,9.770824,2612,135,469,2008,1931,309,TRUE,TRUE,ITC4
3/6/20,ITA,Italy,Marche,43.366624,13.106678,159,4,0,155,93,20,TRUE,TRUE,ITI3
3/6/20,ITA,Italy,Molise,41.597834,14.548702,12,0,0,12,5,2,TRUE,TRUE,ITF2
3/6/20,ITA,Italy,Piemonte,45.060965,7.926836,143,4,0,139,87,30,TRUE,TRUE,ITC1
3/6/20,ITA,Italy,Puglia,40.984631,16.620464,17,1,1,15,6,1,TRUE,TRUE,ITF4
3/6/20,ITA,Italy,Sardegna,40.090225,9.036223,5,0,0,5,2,0,TRUE,TRUE,ITG2
3/6/20,ITA,Italy,Sicilia,37.587635,14.155497,24,0,2,22,7,0,TRUE,TRUE,ITG1
3/6/20,ITA,Italy,Toscana,43.459993,11.136697,79,0,1,78,40,5,TRUE,TRUE,ITI1
3/6/20,ITA,Italy,Trento,46.139153,10.830791,10,0,0,10,4,0,TRUE,TRUE,ITH2
3/6/20,ITA,Italy,Umbria,42.966781,12.49094,16,0,0,16,4,2,TRUE,TRUE,ITI2
3/6/20,ITA,Italy,Valle d'Aosta,45.732414,7.393651,7,0,0,7,0,0,TRUE,TRUE,ITC2
3/6/20,ITA,Italy,Veneto,45.664735,11.84235,488,12,22,454,144,27,TRUE,TRUE,ITH3
3/7/20,ITA,Italy,Abruzzo,42.228034,13.855137,11,0,0,11,11,0,TRUE,TRUE,ITF1
3/7/20,ITA,Italy,Basilicata,40.500665,16.082246,3,0,0,3,1,0,TRUE,TRUE,ITF5
3/7/20,ITA,Italy,Bolzano,46.697344,11.417082,9,0,0,9,8,0,TRUE,TRUE,ITH1
3/7/20,ITA,Italy,Calabria,39.225585,16.418474,4,0,0,4,2,0,TRUE,TRUE,ITF6
3/7/20,ITA,Italy,Campania,41.059945,14.785097,61,0,0,61,16,0,TRUE,TRUE,ITF3
3/7/20,ITA,Italy,Emilia-Romagna,44.536563,11.019909,1010,48,25,937,528,64,TRUE,TRUE,ITH5
3/7/20,ITA,Italy,Friuli Venezia Giulia,46.155667,13.058636,42,0,3,39,8,1,TRUE,TRUE,ITH4
3/7/20,ITA,Italy,Lazio,41.981132,12.767224,76,1,3,72,51,8,TRUE,TRUE,ITI4
3/7/20,ITA,Italy,Liguria,44.144781,8.140492,51,4,5,42,32,6,TRUE,TRUE,ITC3
3/7/20,ITA,Italy,Lombardia,45.622479,9.770824,3420,154,524,2742,2020,359,TRUE,TRUE,ITC4
3/7/20,ITA,Italy,Marche,43.366624,13.106678,207,6,0,201,130,36,TRUE,TRUE,ITI3
