state1,state2,distance
Alabama,Alabama,0.0
Alabama,Alaska,72.54408886366966
Alabama,Arizona,24.876463117774605
Alabama,Arkansas,5.998879942956018
Alabama,California,32.93675355738632
Alabama,Colorado,19.724749469891876
Alabama,Connecticut,16.64449723512248
Alabama,Delaware,12.914827359666875
Alabama,District of Columbia,178.84083463742277
Alabama,Florida,6.0323305786403925
Alabama,Georgia,3.3889068473476804
Alabama,Hawaii,70.65709236792866
Alabama,Idaho,30.097623473291044
Alabama,Illinois,7.638552096438169
Alabama,Indiana,7.135803910562561
Alabama,Iowa,11.439533547308653
Alabama,Kansas,12.887784812759712
Alabama,Kentucky,4.99433535618104
Alabama,Louisiana,5.443810049955818
Alabama,Maine,21.62809508070463
Alabama,Maryland,11.838098842297274
Alabama,Massachusetts,17.761942692171928
Alabama,Michigan,11.653950898300536
Alabama,Minnesota,15.433231976809008
Alabama,Mississippi,2.8394256126900053
Alabama,Missouri,7.924277779709643
Alabama,Montana,26.903101569335835
Alabama,Nebraska,15.647271312276786
Alabama,Nevada,30.5136847414402
Alabama,New Hampshire,18.743619900382097
Alabama,New Jersey,14.237038754600622
Alabama,New Mexico,19.35247287816211
Alabama,New York,15.20695100833826
Alabama,North Carolina,7.942060355474518
Alabama,North Dakota,20.0300439922133
Alabama,Ohio,8.52251554648039
Alabama,Oklahoma,11.029429432658787
Alabama,Oregon,35.52607625111448
Alabama,Pennsylvania,12.129039059216522
Alabama,Rhode Island,17.6749061239374
Alabama,South Carolina,6.0403716392288285
Alabama,South Dakota,17.76416555231345
Alabama,Tennessee,3.1155181270536705
Alabama,Texas,12.570287981585782
Alabama,Utah,25.684529814072906
Alabama,Vermont,18.111764985776503
Alabama,Virginia,9.278369329251769
Alabama,Washington,36.653198939383174
Alabama,West Virginia,8.536487465579741
Alabama,Wisconsin,12.260563330043198
Alabama,Wyoming,23.103999479310932
Alaska,Alabama,72.54408886366966
Alaska,Alaska,0.0
Alaska,Arizona,50.373706621708905
Alaska,Arkansas,66.56922823234471
Alaska,California,42.416685364606224
Alaska,Colorado,53.03112640563088
Alaska,Connecticut,82.65709614044036
Alaska,Delaware,80.76555864630666
Alaska,District of Columbia,251.35597476163164
Alaska,Florida,78.3062657534504
Alaska,Georgia,75.67031225229614
Alaska,Hawaii,43.96696243647042
Alaska,Idaho,42.51412754367658
Alaska,Illinois,67.50250360638485
Alaska,Indiana,70.28476358393759
Alaska,Iowa,62.76190469066405
Alaska,Kansas,59.657717353918265
Alaska,Kentucky,72.04054770509453
Alaska,Louisiana,68.7227821476983
Alaska,Maine,85.11480631570514
Alaska,Maryland,79.52362946659314
Alaska,Massachusetts,83.37285484628674
Alaska,Michigan,69.7156999480031
Alaska,Minnesota,60.640439998815964
Alaska,Mississippi,70.01258942911625
Alaska,Missouri,65.111889311016
Alaska,Montana,45.91432179233403
Alaska,Nebraska,57.11486871297175
Alaska,Nevada,43.390741145548546
Alaska,New Hampshire,83.23276093227953
Alaska,New Jersey,81.19573536830615
Alaska,New Mexico,54.873137994104184
Alaska,New York,79.6028137571154
Alaska,North Carolina,78.26879808767987
Alaska,North Dakota,54.41218291752316
Alaska,Ohio,73.44176967870531
Alaska,Oklahoma,61.74433832644091
Alaska,Oregon,37.57081652053891
Alaska,Pennsylvania,78.00549025626337
Alaska,Rhode Island,83.77025953934964
Alaska,South Carolina,77.48858208665325
Alaska,South Dakota,55.628315804543284
Alaska,Tennessee,71.70978969108751
Alaska,Texas,62.17455605663783
Alaska,Utah,47.56267140741781
Alaska,Vermont,82.08609037955212
Alaska,Virginia,78.07624740758229
Alaska,Washington,35.939279622858336
Alaska,West Virginia,76.03337110775767
Alaska,Wisconsin,65.24864769824735
Alaska,Wyoming,49.442566972599636
Arizona,Alabama,24.876463117774605
Arizona,Alaska,50.373706621708905
Arizona,Arizona,0.0
Arizona,Arkansas,19.227579309939152
Arizona,California,8.333851597550796
Arizona,Colorado,7.724394707677754
Arizona,Connecticut,39.620152178657776
Arizona,Delaware,36.461371313761646
Arizona,District of Columbia,202.37141332278134
Arizona,Florida,29.75074650256695
Arizona,Georgia,28.264806954408876
Arizona,Hawaii,46.84853271064101
Arizona,Idaho,10.500232382666587
Arizona,Illinois,23.19223074609254
Arizona,Indiana,25.99337396337767
Arizona,Iowa,19.768385926271264
Arizona,Kansas,13.933972173432823
Arizona,Kentucky,26.558971962408492
Arizona,Louisiana,19.922964885026534
Arizona,Maine,43.84446449404987
Arizona,Maryland,35.19548577374662
Arizona,Massachusetts,40.64403218985537
Arizona,Michigan,28.116075958248512
Arizona,Minnesota,21.1031702286647
Arizona,Mississippi,22.046113076005035
Arizona,Missouri,19.63132297324865
Arizona,Montana,12.93805528276951
Arizona,Nebraska,13.91177837553488
Arizona,Nevada,7.089344909792442
Arizona,New Hampshire,41.16805769064166
Arizona,New Jersey,37.45758086756272
Arizona,New Mexico,5.549186881877382
Arizona,New York,37.16119723475013
Arizona,North Carolina,32.29792541232332
Arizona,North Dakota,17.28905500540732
Arizona,Ohio,29.485870539802622
Arizona,Oklahoma,14.226757643960912
Arizona,Oregon,13.133024337524086
Arizona,Pennsylvania,34.49853744798467
Arizona,Rhode Island,40.78133714384559
Arizona,South Carolina,30.765877148067794
Arizona,South Dakota,15.30231796885688
Arizona,Tennessee,25.359193659302345
Arizona,Texas,12.642664382557982
Arizona,Utah,5.031110137931789
Arizona,Vermont,40.205615824782484
Arizona,Virginia,32.96680300939113
Arizona,Washington,15.780883252847408
Arizona,West Virginia,31.343144840618667
Arizona,Wisconsin,24.01125401181704
Arizona,Wyoming,9.640796372188351
Arkansas,Alabama,5.998879942956018
Arkansas,Alaska,66.56922823234471
Arkansas,Arizona,19.227579309939152
Arkansas,Arkansas,0.0
Arkansas,California,27.12386777526391
Arkansas,Colorado,13.732594751175027
Arkansas,Connecticut,20.83171581267371
Arkansas,Delaware,17.42578180168684
Arkansas,District of Columbia,184.83179428469552
Arkansas,Florida,11.793514204850046
Arkansas,Georgia,9.277545757903864
Arkansas,Hawaii,65.57726487449749
Arkansas,Idaho,24.10318187646602
Arkansas,Illinois,6.085888564540102
Arkansas,Indiana,7.934854829169844
Arkansas,Iowa,7.258148610355125
Arkansas,Kansas,6.943828112071895
Arkansas,Kentucky,7.613218311594648
Arkansas,Louisiana,3.8507918211713292
Arkansas,Maine,25.455274709379978
Arkansas,Maryland,16.195409791975013
Arkansas,Massachusetts,21.90957202069451
Arkansas,Michigan,11.78184909808303
Arkansas,Minnesota,11.538246959568863
Arkansas,Mississippi,3.514810065992183
Arkansas,Missouri,3.462834243795104
Arkansas,Montana,21.05609212793296
Arkansas,Nebraska,9.909691834260038
Arkansas,Nevada,24.591837710305434
Arkansas,New Hampshire,22.636436979789902
Arkansas,New Jersey,18.542463203415025
Arkansas,New Mexico,13.678661370543539
Arkansas,New York,18.737873135444165
Arkansas,North Carolina,13.071668815419097
Arkansas,North Dakota,14.900805769487773
Arkansas,Ohio,11.053472258525824
Arkansas,Oklahoma,5.099297686936896
Arkansas,Oregon,29.533211314213702
Arkansas,Pennsylvania,15.818637599047525
Arkansas,Rhode Island,21.960024014558815
Arkansas,South Carolina,11.587453044133554
Arkansas,South Dakota,12.320634559145073
Arkansas,Tennessee,6.1679302890029515
Arkansas,Texas,7.6900076443395005
Arkansas,Utah,19.727329879636525
Arkansas,Vermont,21.801390053159448
Arkansas,Virginia,13.840628977759641
Arkansas,Washington,30.663133346088422
Arkansas,West Virginia,12.399628801702095
Arkansas,Wisconsin,10.033831895143548
Arkansas,Wyoming,17.143820390158076
California,Alabama,32.93675355738632
California,Alaska,42.416685364606224
California,Arizona,8.333851597550796
California,Arkansas,27.12386777526391
California,California,0.0
California,Colorado,14.039367751077686
California,Connecticut,46.9524938435649
California,Delaware,44.0016577347945
California,District of Columbia,210.7045500698312
California,Florida,37.995224291613276
California,Georgia,36.312256109473566
California,Hawaii,40.58610588329461
California,Idaho,8.657342883356304
California,Illinois,30.407671094149908
California,Indiana,33.29846822317808
California,Iowa,26.43009228058047
California,Kansas,21.129822734703673
California,Kentucky,34.16929874331635
California,Louisiana,28.145166741023232
California,Maine,50.88941158433648
California,Maryland,42.71968750470912
California,Massachusetts,47.93078570125885
California,Michigan,34.804390055278944
California,Minnesota,26.757991816464852
California,Mississippi,30.131865500330377
California,Missouri,27.037035540347247
California,Montana,13.933487131726928
California,Nebraska,20.15045046493998
California,Nevada,3.557623026685085
California,New Hampshire,48.327131564060366
California,New Jersey,44.8975827166675
California,New Mexico,13.642623574664809
California,New York,44.319962882768756
California,North Carolina,40.1149647160508
California,North Dakota,21.599337251175086
California,Ohio,36.80685622570882
California,Oklahoma,22.03312218297716
California,Oregon,6.83674030075737
California,Pennsylvania,41.83341410881976
California,Rhode Island,48.12351672488202
California,South Carolina,38.71132074832891
California,South Dakota,20.567330865476933
California,Tennessee,33.145638114539295
California,Texas,20.931817530257618
California,Utah,8.082661594425442
California,Vermont,47.30743505623614
California,Virginia,40.61730138216964
California,Washington,10.245247874502594
California,West Virginia,38.87420617646102
California,Wisconsin,30.400027570546705
California,Wyoming,13.259824777122816
Colorado,Alabama,19.724749469891876
Colorado,Alaska,53.03112640563088
Colorado,Arizona,7.724394707677754
Colorado,Arkansas,13.732594751175027
Colorado,California,14.039367751077686
Colorado,Colorado,0.0
Colorado,Connecticut,32.92528314745372
Colorado,Delaware,30.042800961295203
Colorado,District of Columbia,198.4908405935649
Colorado,Florida,25.317793989603427
Colorado,Georgia,23.000756281696475
Colorado,Hawaii,54.15838283276193
Colorado,Idaho,10.528055600632062
Colorado,Illinois,16.384626695167633
Colorado,Indiana,19.287070058461442
Colorado,Iowa,12.438623382432626
Colorado,Kansas,7.185063326791213
Colorado,Kentucky,20.29845498406221
Colorado,Louisiana,15.699921716046868
Colorado,Maine,36.85999501207236
Colorado,Maryland,28.756958087565522
Colorado,Massachusetts,33.89685994321597
Colorado,Michigan,20.83602850857139
Colorado,Minnesota,13.3956402795835
Colorado,Mississippi,17.069622627345918
Colorado,Missouri,13.105465745253005
Colorado,Montana,9.032297077709531
Colorado,Nebraska,6.288736411235557
Colorado,Nevada,11.088362388107644
Colorado,New Hampshire,34.288044677117405
Colorado,New Jersey,30.898059279669976
Colorado,New Mexico,4.624718050865372
